Instance,Runtime,Dual_Bound,Primal_Bound,Lambdas,Optimal_Lambda,Optimal_Value
1,0.0,"[0.7886592461345668, 0.749733177960313, 0.7458843542787224, 0.7277018935895156, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617]","[-inf, 0.0, 0.0, 0.0, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618]","[0.4998221186402087, 0.749733177960313, 0.6247776483002608, 0.6872554131302869, 0.7184942955453, 0.7028748543377934, 0.7106845749415467, 0.7145894352434233, 0.7165418653943616, 0.7175180804698308, 0.7170299729320961, 0.7167859191632289, 0.7169079460476625, 0.7169689594898794, 0.716938452768771, 0.7169231994082168, 0.7169308260884939, 0.7169346394286324, 0.7169327327585632, 0.7169317794235286]",0.7169317794235286,0.7248408011518618
2,0.003000020980834961,"[0.786433724373611, 0.7499068093887624, 0.7454226828313553, 0.7278767146124243, 0.7234538922893703, 0.7234538922893703, 0.7234538922893703, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702]","[-inf, 0.0, 0.0, 0.0, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702]","[0.4999378729258416, 0.7499068093887624, 0.6249223411573019, 0.6874145752730322, 0.7186606923308974, 0.7342837508598299, 0.7264722215953636, 0.7225664569631305, 0.7206135746470139, 0.7196371334889556, 0.7201253540679848, 0.7203694643574994, 0.7204915195022566, 0.7205525470746352, 0.7205220332884459, 0.7205372901815406, 0.7205296617349932, 0.7205334759582669, 0.7205353830699037, 0.7205363366257221]",0.7205363366257221,0.7234538922893702
3,0.016000032424926758,"[0.7859810811056368, 0.7494210011466954, 0.7442306562574001, 0.7259374392312662, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057]","[-inf, 0.0, 0.0, 0.0, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058]","[0.4996140007644636, 0.7494210011466954, 0.6245175009555795, 0.6869692510511374, 0.7181951260989163, 0.7338080636228059, 0.7260015948608611, 0.7220983604798887, 0.7240499776703749, 0.725025786265618, 0.7245378819679964, 0.7247818341168072, 0.7246598580424017, 0.7247208460796044, 0.7246903520610031, 0.7247055990703037, 0.7247132225749541, 0.7247094108226289, 0.7247113166987915, 0.7247122696368729]",0.7247122696368729,0.7247520832852058
4,0.0,"[0.791708038889126, 0.7495527697777707, 0.7495527697777707, 0.734064128584295, 0.7274594436318766, 0.7274594436318766, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807]","[0.49970184651851385, 0.7495527697777707, 0.6246273081481423, 0.6870900389629565, 0.7183214043703636, 0.7339370870740671, 0.7261292457222154, 0.7222253250462896, 0.7241772853842525, 0.725153265553234, 0.7256412556377247, 0.72588525067997, 0.7260072482010926, 0.726068246961654, 0.7260987463419346, 0.726113996032075, 0.7261216208771453, 0.7261254332996803, 0.7261273395109478, 0.7261282926165815]",0.7261282926165815,0.7263651111092807
5,0.0,"[0.7932053534150146, 0.7497216685774126, 0.7497216685774126, 0.7345839669023246, 0.7278967724032253, 0.7278967724032253, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217]","[0.4998144457182751, 0.7497216685774126, 0.6247680571478439, 0.6872448628626282, 0.7184832657200204, 0.7341024671487165, 0.7262928664343684, 0.7301976667915424, 0.7282452666129554, 0.7272690665236619, 0.7277571665683087, 0.7275131165459853, 0.7276351415571469, 0.727574129051566, 0.7276046353043565, 0.7276198884307516, 0.727612261867554, 0.7276160751491528, 0.7276141685083535, 0.7276132151879537]",0.7276132151879537,0.7276141169718217
6,0.0010001659393310547,"[0.7863945772723593, 0.7494529375961319, 0.7490212341912046, 0.731957858320377, 0.725392617242169, 0.725392617242169, 0.725392617242169, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250366705645888]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659]","[0.49963529173075455, 0.7494529375961319, 0.6245441146634432, 0.6869985261297875, 0.7182257318629597, 0.7338393347295458, 0.7260325332962527, 0.7221291325796062, 0.7240808329379295, 0.725056683117091, 0.7245687580275102, 0.7248127205723006, 0.7249347018446959, 0.7249956924808935, 0.7250261877989923, 0.7250414354580417, 0.725033811628517, 0.7250376235432794, 0.7250357175858981, 0.7250366705645888]",0.7250366705645888,0.7250367260120659
7,0.0,"[0.78646046972175, 0.7494799404105226, 0.7465907000333716, 0.7286938108040215, 0.7235051922840515, 0.7235051922840515, 0.7235051922840515, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402]","[0.49965329360701505, 0.7494799404105226, 0.6245666170087688, 0.6870232787096457, 0.7182516095600842, 0.7338657749853034, 0.7260586922726937, 0.7221551509163889, 0.7241069215945413, 0.723131036255465, 0.7226430935859269, 0.722887064920696, 0.7227650792533115, 0.7228260720870037, 0.7228565685038498, 0.722871816712273, 0.7228641926080615, 0.7228603805559557, 0.7228622865820086, 0.722863239595035]",0.722863239595035,0.7230659682383402
8,0.0,"[0.7858666651985625, 0.7492075433346513, 0.7453624268054254, 0.7300822741466207, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234884, 0.7258166580234884, 0.7258166580234884, 0.7258166580234884, 0.7258166580234884, 0.7258166580234884, 0.7258166580234884, 0.7258166580234884, 0.7258166580234884]","[-inf, 0.0, 0.0, 0.0, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885]","[0.4994716955564342, 0.7492075433346513, 0.6243396194455428, 0.686773581390097, 0.7179905623623741, 0.7023820718762356, 0.7101863171193048, 0.7140884397408395, 0.7160395010516067, 0.7170150317069904, 0.7165272663792985, 0.7167711490431445, 0.7166492077112215, 0.716710178377183, 0.7166796930442023, 0.7166949357106926, 0.7167025570439378, 0.7167063677105604, 0.7167082730438716, 0.7167092257105273]",0.7167092257105273,0.7258166580234885
9,0.004000186920166016,"[0.7827797398288865, 0.7494727408300992, 0.7433741134859028, 0.7283568176829922, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997]","[-inf, 0.0, 0.0, 0.0, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998]","[0.4996484938867328, 0.7494727408300992, 0.624560617358416, 0.6870166790942576, 0.7182447099621784, 0.7338587253961388, 0.7260517176791585, 0.7299552215376487, 0.7280034696084037, 0.7270275936437811, 0.7265396556614698, 0.7267836246526255, 0.7266616401570476, 0.7266006479092587, 0.7266311440331532, 0.7266158959712059, 0.7266235200021796, 0.7266273320176664, 0.7266292380254098, 0.7266301910292815]",0.7266301910292815,0.7266545622867998
10,0.0,"[0.7929405811276109, 0.7498916757620726, 0.7498916757620726, 0.7334425330296357, 0.7273520320796542, 0.7273520320796542, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152524, 0.7268180648152524, 0.7268180648152524, 0.7268180648152524, 0.7268180648152524, 0.7268180648152524]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525]","[0.49992778384138176, 0.7498916757620726, 0.6249097298017272, 0.6874007027818999, 0.7186461892719862, 0.7342689325170294, 0.7264575608945079, 0.7303632467057686, 0.7284104038001382, 0.727433982347323, 0.7269457716209154, 0.7267016662577117, 0.7268237189393136, 0.7267626925985127, 0.7267932057689132, 0.726777949183713, 0.726785577476313, 0.7267893916226131, 0.7267912986957632, 0.7267922522323382]",0.7267922522323382,0.7268180648152525
11,0.00599980354309082,"[0.7891942153283343, 0.749982966116526, 0.749982966116526, 0.7339021378032031, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.7271778078529428, 0.7271778078529428, 0.7271778078529428, 0.7271778078529428, 0.7271778078529428, 0.7271778078529428, 0.7271778078529428, 0.7271778078529428, 0.7271778078529428, 0.7271778078529428]","[-inf, 0.0, 0.0, 0.0, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943, 0.727177807852943]","[0.499988644077684, 0.749982966116526, 0.624985805097105, 0.6874843856068156, 0.7187336758616708, 0.7343583209890985, 0.7265459984253846, 0.7304521597072415, 0.7284990790663131, 0.7275225387458488, 0.7270342685856167, 0.7267901335055007, 0.7269122010455586, 0.7269732348155877, 0.7270037517006023, 0.7270190101431095, 0.7270266393643632, 0.7270304539749899, 0.7270323612803034, 0.72703331493296]",0.72703331493296,0.727177807852943
