Instance,Runtime,Dual_Bound,Primal_Bound,Lambdas,Optimal_Lambda,Optimal_Value
11,0.0,"[0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238930521178958]","[0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554]","[0.49814378493564543, 0.7472156774034682, 0.6226797311695568, 0.6849477042865124, 0.6538137177280345, 0.6382467244487957, 0.6304632278091762, 0.6265714794893664, 0.6246256053294617, 0.6236526682495092, 0.6241391367894854, 0.6238959025194972, 0.6237742853845032, 0.6238350939520002, 0.6238654982357488, 0.623880700377623, 0.6238883014485601, 0.6238921019840287, 0.623894002251763, 0.6238930521178958]",0.6238930521178958,0.6238934175515554
12,0.0,"[0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699]","[0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697]","[0.4490008645696915, 0.22450043228484576, 0.33675064842726865, 0.39287575649848006, 0.4209383105340858, 0.40690703351628293, 0.4139226720251844, 0.41041485277073364, 0.412168762397959, 0.4130457172115717, 0.41348419461837804, 0.4137034333217812, 0.41359381397007966, 0.41364862364593047, 0.4136760284838559, 0.4136897309028186, 0.41369658211229987, 0.4137000077170405, 0.4137017205194109, 0.4137025769205961]",0.4137025769205961,0.61287819416697
13,0.0,"[0.29935618771758, 0.29935618771758, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803]","[-inf, 0.0, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803]","[0.21854991391807632, 0.3278248708771145, 0.2731873923975954, 0.24586865315783585, 0.2595280227777156, 0.2663577075876555, 0.26977254999262545, 0.2714799711951104, 0.27233368179635287, 0.2727605370969741, 0.27297396474728475, 0.27308067857244006, 0.2731340354850177, 0.27316071394130653, 0.273174053169451, 0.2731807227835232, 0.2731840575905593, 0.27318572499407734, 0.2731848912923183]",0.2731848912923183,0.29917068520107803
14,0.0,"[0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126426965777634, 0.5126426965777634]","[0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473]","[0.4085742731455883, 0.6128614097183824, 0.5107178414319854, 0.561789625575184, 0.5362537335035846, 0.523485787467785, 0.5171018144498851, 0.5139098279409353, 0.5123138346864604, 0.5131118313136979, 0.5127128330000792, 0.5125133338432698, 0.5126130834216744, 0.5126629582108768, 0.5126380208162756, 0.5126504895135762, 0.512644255164926, 0.5126411379906008, 0.5126426965777634, 0.5126419172841821]",0.5126419172841821,0.5126429548780473
15,0.0,"[0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171094577347182, 0.5171094577347182, 0.5171094577347182, 0.5171094577347182]","[0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513]","[0.4495375253306603, 0.6743062879959905, 0.5619219066633254, 0.5057297159969929, 0.5338258113301592, 0.5197777636635761, 0.5127537398302845, 0.5162657517469302, 0.5180217577052532, 0.5171437547260918, 0.516704753236511, 0.5169242539813014, 0.5170340043536965, 0.5170888795398941, 0.5171163171329929, 0.5171025983364435, 0.5171094577347182, 0.5171060280355808, 0.5171077428851495, 0.5171086003099339]",0.5171086003099339,0.5171097916937513
16,0.0009999275207519531,"[0.5803473729663966, 0.5803473729663966, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149]","[-inf, 0.0, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149]","[0.40793400647195105, 0.6119010097079266, 0.5099175080899389, 0.458925757280945, 0.4844216326854419, 0.4971695703876904, 0.5035435392388146, 0.5067305236643767, 0.5083240158771578, 0.5091207619835483, 0.5095191350367436, 0.5097183215633412, 0.50981791482664, 0.5097681181949906, 0.5097930165108153, 0.5098054656687276, 0.5098116902476838, 0.5098085779582058, 0.5098101341029448, 0.5098109121753143]",0.5098109121753143,0.5634031536123149
17,0.0,"[0.5237840875670043, 0.5237840875670043, 0.509640433449824, 0.509640433449824, 0.509640433449824, 0.509640433449824, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239]","[-inf, 0.0, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239]","[0.38108841387760295, 0.5716326208164044, 0.4763605173470037, 0.5239965690817041, 0.500178543214354, 0.512087556148029, 0.5061330496811915, 0.5091103029146102, 0.5105989295313196, 0.5098546162229649, 0.5094824595687876, 0.5096685378958763, 0.509575498732332, 0.5095289791505597, 0.5095522389414459, 0.5095638688368889, 0.5095696837846104, 0.5095667763107496, 0.50956823004768, 0.5095689569161452]",0.5095689569161452,0.5096404334498239
18,0.0010001659393310547,"[0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865]","[0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865]","[0.4024457156511045, 0.6036685734766567, 0.5030571445638806, 0.5533628590202686, 0.5282100017920746, 0.5156335731779775, 0.521921787485026, 0.5187776803315018, 0.5172056267547397, 0.5179916535431208, 0.5183846669373113, 0.5181881602402161, 0.5182864135887637, 0.5183355402630375, 0.5183601036001744, 0.5183723852687429, 0.5183662444344586, 0.5183693148516006, 0.5183677796430296, 0.5183685472473152]",0.5183685472473152,0.5192165501049865
19,0.0,"[0.6490464852023761, 0.6490464852023761, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654]","[-inf, 0.0, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655]","[0.4479451570413794, 0.6719177355620691, 0.5599314463017242, 0.6159245909318967, 0.6439211632469829, 0.6299228770894398, 0.6369220201682113, 0.640421591707597, 0.6421713774772899, 0.6430462703621365, 0.6426088239197132, 0.6428275471409248, 0.6429369087515306, 0.6429915895568336, 0.642964249154182, 0.6429779193555079, 0.642971084254845, 0.6429745018051765, 0.6429727930300106, 0.6429719386424277]",0.6429719386424277,0.6429737470941655
20,0.0,"[0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886708076331992]","[0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117]","[0.47821303508952, 0.71731955263428, 0.5977662938619, 0.65754292324809, 0.6874312379411851, 0.7023753952877325, 0.6949033166144588, 0.6911672772778219, 0.6892992576095035, 0.6883652477753444, 0.688832252692424, 0.6885987502338842, 0.6887155014631541, 0.6886571258485191, 0.6886863136558365, 0.6886717197521779, 0.6886644228003485, 0.6886680712762632, 0.6886698955142205, 0.6886708076331992]",0.6886708076331992,0.6886713967992117
