Instance,Runtime,Dual_Bound,Primal_Bound,Lamda,Optimal_Value
11,0.013000011444091797,"[0.9903764082518819, 0.9882389032762393, 0.9872761607291539, 0.9868106937820397, 0.9865862738865393, 0.9864756477892168]","[0.9856429578199318, 0.9862579734634771, 0.986326915794937, 0.9863568598995096, 0.9863623567789428, 0.9863670643430276]","[0.0001999954576310736, 9.99977288155368e-05, 4.99988644077684e-05, 2.49994322038842e-05, 1.24997161019421e-05, 6.24985805097105e-06]",0.9863670643430276
12,0.007999897003173828,"[0.9896120475426915, 0.9866288019774737, 0.9853732238501606, 0.9848182364255624, 0.9845458776982754, 0.9844098215714099]","[0.9832875623368695, 0.9839081383821274, 0.9842476065127372, 0.9842659947385123, 0.9842737654445446, 0.9842737654445446]","[0.0001998934778779988, 9.99467389389994e-05, 4.99733694694997e-05, 2.498668473474985e-05, 1.2493342367374924e-05, 6.246671183687462e-06]",0.9842737654445446
13,0.01399993896484375,"[0.9897653129877917, 0.9875193951592584, 0.9865230993542148, 0.9860586172559865, 0.9858314304463607, 0.9857178613893995]","[0.9845900401108295, 0.9854724255396144, 0.9855854012302125, 0.9856042436367358, 0.9856042436367358, 0.9856052090849565]","[0.00019997259268639026, 9.998629634319513e-05, 4.9993148171597564e-05, 2.4996574085798782e-05, 1.2498287042899391e-05, 6.2491435214496955e-06]",0.9856052090849565
14,0.010999917984008789,"[0.98735512484647, 0.9846411134441068, 0.9834823983702033, 0.9829470910250897, 0.9826900683342366, 0.9825626235730015]","[0.9813582270641897, 0.9822492341979104, 0.9823587394704094, 0.9824260378109007, 0.9824351788117666, 0.9824351788117666]","[0.00019988665112227264, 9.994332556113632e-05, 4.997166278056816e-05, 2.498583139028408e-05, 1.249291569514204e-05, 6.24645784757102e-06]",0.9824351788117666
15,0.015000104904174805,"[0.9871484494519297, 0.9846278498337238, 0.983545006076013, 0.9830217565283971, 0.9827629065723381, 0.982637872986037]","[0.9810739621296203, 0.9823314207196467, 0.9824985069807801, 0.9824985069807801, 0.9825125080108811, 0.9825146879516962]","[0.00019993101356860767, 9.996550678430384e-05, 4.998275339215192e-05, 2.499137669607596e-05, 1.249568834803798e-05, 6.24784417401899e-06]",0.9825146879516962
16,0.012000083923339844,"[0.9892272669765968, 0.9869367184340863, 0.9859685950392985, 0.9854956186544228, 0.9852630844111727, 0.9851472077789516]","[0.9839227789187367, 0.9849749005370831, 0.9850102244954065, 0.9850305501679226, 0.9850305501679226, 0.9850322880654322]","[0.0001999827127839814, 9.99913563919907e-05, 4.999567819599535e-05, 2.4997839097997677e-05, 1.2498919548998838e-05, 6.249459774499419e-06]",0.9850322880654322
17,0.013000011444091797,"[0.9888016089250022, 0.9863389717370369, 0.9852494337870163, 0.9847443020552491, 0.9844937147669794, 0.9843701844390835]","[0.9835239552604158, 0.9840689792123727, 0.9842105591871252, 0.984242610006449, 0.9842466541111884, 0.9842466541111884]","[0.00019992940149395164, 9.996470074697582e-05, 4.998235037348791e-05, 2.4991175186743955e-05, 1.2495587593371978e-05, 6.247793796685989e-06]",0.9842466541111884
18,0.008999824523925781,"[0.9884705170939561, 0.985897309592718, 0.98479861579885, 0.9842824773640908, 0.9840349128920087, 0.983913039759702]","[0.9828618289498174, 0.98358037147853, 0.9837482222764657, 0.9837749850966826, 0.9837911666273955, 0.9837911666273955]","[0.0001999112591347745, 9.995562956738725e-05, 4.9977814783693625e-05, 2.4988907391846813e-05, 1.2494453695923406e-05, 6.247226847961703e-06]",0.9837911666273955
19,0.026999950408935547,"[0.9899810248367075, 0.9876626659031414, 0.9866347357099132, 0.9861406073809788, 0.9859016053161256, 0.985782557126294]","[0.9848968581055763, 0.9855719017892763, 0.9856305635413621, 0.9856581418504746, 0.9856635089364623, 0.9856635089364623]","[0.0001999807153770477, 9.999035768852386e-05, 4.999517884426193e-05, 2.4997589422130964e-05, 1.2498794711065482e-05, 6.249397355532741e-06]",0.9856635089364623
20,0.002000093460083008,"[0.9903938611414336, 0.9880141085712663, 0.9869314982055395, 0.9864170933691192, 0.9861713646923295, 0.9860519583007538]","[0.9850769696538099, 0.9857446115199407, 0.9858720719974333, 0.9859147033072299, 0.9859292624668959, 0.9859326476149598]","[0.00019998613972076865, 9.999306986038433e-05, 4.999653493019216e-05, 2.499826746509608e-05, 1.249913373254804e-05, 6.24956686627402e-06]",0.9859326476149598
21,0.02500009536743164,"[0.9884649576355128, 0.9858811236217367, 0.9847562607552888, 0.9842362080044372, 0.9839790581709661, 0.9838506815340391]","[0.9829483758766041, 0.9835179166798367, 0.9836928084134088, 0.9837177935285366, 0.9837223048971119, 0.9837223048971119]","[0.00019985611490685713, 9.992805745342857e-05, 4.996402872671428e-05, 2.498201436335714e-05, 1.249100718167857e-05, 6.245503590839285e-06]",0.9837223048971119
22,0.004000186920166016,"[0.9891229342628339, 0.9865087717750594, 0.9853736132529609, 0.9848498754258531, 0.9845918604071748, 0.9844644189358174]","[0.9828335972949783, 0.9841553947771643, 0.9843139509823683, 0.9843326077135873, 0.9843368181699099, 0.9843389685694256]","[0.00019995393683683717, 9.997696841841858e-05, 4.998848420920929e-05, 2.4994242104604646e-05, 1.2497121052302323e-05, 6.2485605261511614e-06]",0.9843389685694256
23,0.013000011444091797,"[0.9887745913604151, 0.9860896671499085, 0.9850086410118345, 0.9844988375745938, 0.9842485413032459, 0.9841255634269852]","[0.9830004182363568, 0.9838310428048607, 0.9839679682745761, 0.9839968120839325, 0.9840000782947392, 0.9840032180449347]","[0.00019989361657567155, 9.994680828783577e-05, 4.997340414391789e-05, 2.4986702071958943e-05, 1.2493351035979472e-05, 6.246675517989736e-06]",0.9840032180449347
24,0.019999980926513672,"[0.9885979672482623, 0.9864950948097464, 0.9856240898536013, 0.9852166900885484, 0.9850173090646613, 0.984919932535071]","[0.9838742619480233, 0.9846433431696916, 0.9847800430217104, 0.9848164240428029, 0.9848204580932894, 0.9848227699965807]","[0.00019985636266557202, 9.992818133278601e-05, 4.9964090666393004e-05, 2.4982045333196502e-05, 1.2491022666598251e-05, 6.2455113332991255e-06]",0.9848227699965807
25,0.01399993896484375,"[0.9879706260078548, 0.9855297091596061, 0.9845438819559161, 0.9840846361140999, 0.9838598414656327, 0.9837484453939496]","[0.982718769481855, 0.9834236437609897, 0.9836193642059613, 0.9836304043873578, 0.9836370493222667, 0.9836370493222667]","[0.0001997974069231815, 9.989870346159075e-05, 4.9949351730795374e-05, 2.4974675865397687e-05, 1.2487337932698843e-05, 6.243668966349422e-06]",0.9836370493222667
26,0.010999917984008789,"[0.9894519785222551, 0.9874149178034595, 0.9864737011031607, 0.9860185538570696, 0.9857931529629471, 0.9856813453314818]","[0.9849621430361611, 0.985481893721869, 0.9855478487638772, 0.9855634941910315, 0.9855695377000171, 0.9855695377000171]","[0.00019991068845199106, 9.995534422599553e-05, 4.9977672112997764e-05, 2.4988836056498882e-05, 1.2494418028249441e-05, 6.2472090141247205e-06]",0.9855695377000171
27,0.02200007438659668,"[0.9897045610391946, 0.9870454490770022, 0.9859382787493638, 0.9854199379092311, 0.9851683419271605, 0.9850441982928583]","[0.9834854308079359, 0.9847322952234605, 0.9848762550060568, 0.9849160344243979, 0.9849200546585556, 0.9849200546585556]","[0.00019992260735071847, 9.996130367535923e-05, 4.9980651837679616e-05, 2.4990325918839808e-05, 1.2495162959419904e-05, 6.247581479709952e-06]",0.9849200546585556
28,0.010999917984008789,"[0.9885243283770845, 0.9860486048754472, 0.9849577662407962, 0.9844660504583362, 0.9842294406672936, 0.9841143108240372]","[0.9831332858623019, 0.9837710109729114, 0.9839576099736645, 0.9839849114216819, 0.9839991809807808, 0.9839991809807808]","[0.0001999714298234726, 9.99857149117363e-05, 4.999285745586815e-05, 2.4996428727934074e-05, 1.2498214363967037e-05, 6.2491071819835185e-06]",0.9839991809807808
29,0.013000011444091797,"[0.9884919974280936, 0.9861409641894942, 0.9851289796749414, 0.9846617075900372, 0.9844325402715679, 0.9843179566123331]","[0.9829339567555652, 0.9840416221067447, 0.9841869187880042, 0.9842033729530986, 0.9842033729530986, 0.9842033729530986]","[0.00019997971316206375, 9.998985658103188e-05, 4.999492829051594e-05, 2.499746414525797e-05, 1.2498732072628984e-05, 6.249366036314492e-06]",0.9842033729530986
30,0.0,"[0.9886627710807828, 0.9864228283308891, 0.9854593523581975, 0.984990161081873, 0.9847648994745999, 0.984653293474579]","[0.9834941644090922, 0.9844672755846013, 0.984508864477789, 0.9845396378673262, 0.9845396378673262, 0.9845436165967265]","[0.0001999319066432916, 9.99659533216458e-05, 4.99829766608229e-05, 2.499148833041145e-05, 1.2495744165205724e-05, 6.247872082602862e-06]",0.9845436165967265
31,0.018000125885009766,"[0.9894590553188102, 0.987288481682859, 0.9863405333299545, 0.9858873384122845, 0.985661236943343, 0.9855481862088722]","[0.9846406564991398, 0.9852919673105683, 0.9854268787217639, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019]","[0.00019994924369767325, 9.997462184883663e-05, 4.998731092441831e-05, 2.4993655462209157e-05, 1.2496827731104578e-05, 6.248413865552289e-06]",0.9854351354744019
32,0.003000020980834961,"[0.9901539381718915, 0.9879668005597024, 0.9869674840378502, 0.9864855315516818, 0.9862500618956221, 0.9861357690181592]","[0.985169605612997, 0.9859295042105524, 0.9859979380247782, 0.9860108342999774, 0.9860187666660766, 0.986022364291059]","[0.00019993852136503424, 9.996926068251712e-05, 4.998463034125856e-05, 2.499231517062928e-05, 1.249615758531464e-05, 6.24807879265732e-06]",0.986022364291059
33,0.01399993896484375,"[0.9886775869015059, 0.9866155486926274, 0.9856408085301127, 0.9851748589838139, 0.984946853127528, 0.9848339994870381]","[0.9839403265537042, 0.9846330113430697, 0.9846881377752882, 0.9847173940117502, 0.9847206683330927, 0.9847222730231132]","[0.00019982782447662044, 9.991391223831022e-05, 4.995695611915511e-05, 2.4978478059577554e-05, 1.2489239029788777e-05, 6.244619514894389e-06]",0.9847222730231132
34,0.013000011444091797,"[0.9891216809801121, 0.9868836133529831, 0.9858737432036552, 0.9853790520322754, 0.9851364073559067, 0.9850170991472328]","[0.9842150179888689, 0.9848065432788888, 0.984876381856699, 0.9848918856410019, 0.9848949148350631, 0.9848984357544494]","[0.0001998898915217834, 9.99449457608917e-05, 4.997247288044585e-05, 2.4986236440222924e-05, 1.2493118220111462e-05, 6.246559110055731e-06]",0.9848984357544494
35,0.01699995994567871,"[0.9884478345070811, 0.9860448220448251, 0.9850375997139657, 0.9845604977976603, 0.9843234605301033, 0.9842049418963242]","[0.9829117019719742, 0.9839758019381055, 0.9840629308810075, 0.984086423262546, 0.984086423262546, 0.984086423262546]","[0.0001999533504508071, 9.997667522540355e-05, 4.9988337612701775e-05, 2.4994168806350888e-05, 1.2497084403175444e-05, 6.248542201587722e-06]",0.984086423262546
