Instance,Runtime,Optimal_Lambda,Lambdas,Objective_Values
11,0.0,3.8005354685641894e-07,"[0, 0.04981437849356454, 0.02490718924678227, 0.012453594623391136, 0.006226797311695568, 0.003113398655847784, 0.001556699327923892, 0.000778349663961946, 0.000389174831980973, 0.0001945874159904865, 9.729370799524325e-05, 4.8646853997621624e-05, 2.4323426998810812e-05, 1.2161713499405406e-05, 6.080856749702703e-06, 3.0404283748513515e-06, 1.5202141874256757e-06, 7.601070937128379e-07, 7.601070937128379e-07]","[0.6979134866186782, 0.7932894345828918, 0.745601460600785, 0.7217574736097316, 0.7098354801142048, 0.7038744833664415, 0.7008939849925597, 0.699403735805619, 0.6986586112121487, 0.6982860489154133, 0.6980997677670457, 0.698006627192862, 0.69796005690577, 0.697936771762224, 0.6979251291904511, 0.6979193079045647, 0.6979163972616214, 0.6979149419401498, 0.6979149419401498]"
12,0.0,3.425604740674526e-07,"[0, 0.04490008645696915, 0.022450043228484574, 0.011225021614242287, 0.005612510807121144, 0.002806255403560572, 0.001403127701780286, 0.000701563850890143, 0.0003507819254450715, 0.00017539096272253574, 8.769548136126787e-05, 4.3847740680633934e-05, 2.1923870340316967e-05, 1.0961935170158484e-05, 5.480967585079242e-06, 2.740483792539621e-06, 1.3702418962698104e-06, 6.851209481349052e-07, 6.851209481349052e-07]","[0.6937936358040542, 0.7705475903957731, 0.7321706130999136, 0.712982124451984, 0.703387880128019, 0.6985907579660366, 0.6961921968850453, 0.6949929163445498, 0.694393276074302, 0.694093455939178, 0.6939435458716161, 0.6938685908378351, 0.6938311133209447, 0.6938123745624994, 0.6938030051832768, 0.6937983204936654, 0.6937959781488598, 0.693794806976457, 0.693794806976457]"
13,0.0,3.3348070361034595e-07,"[0, 0.021854991391807632, 0.010927495695903816, 0.005463747847951908, 0.002731873923975954, 0.001365936961987977, 0.0006829684809939885, 0.00034148424049699425, 0.00017074212024849713, 8.537106012424856e-05, 4.268553006212428e-05, 2.134276503106214e-05, 1.067138251553107e-05, 5.335691257765535e-06, 2.6678456288827676e-06, 1.3339228144413838e-06, 6.669614072206919e-07, 6.669614072206919e-07]","[0.36158988455929675, 0.38601068465511257, 0.37380028460720466, 0.36769508458325073, 0.36464248457127374, 0.36311618456528527, 0.36235303456229107, 0.3619714595607939, 0.3617806720600454, 0.361685278309671, 0.36163758143448393, 0.3616137329968903, 0.36160180877809356, 0.36159584666869515, 0.36159286561399595, 0.3615913750866464, 0.3615906298229716, 0.3615906298229716]"
14,0.0,3.1171743251463953e-07,"[0, 0.04085742731455883, 0.020428713657279416, 0.010214356828639708, 0.005107178414319854, 0.002553589207159927, 0.0012767946035799635, 0.0006383973017899818, 0.0003191986508949909, 0.00015959932544749544, 7.979966272374772e-05, 3.989983136187386e-05, 1.994991568093693e-05, 9.974957840468465e-06, 4.9874789202342324e-06, 2.4937394601171162e-06, 1.2468697300585581e-06, 6.234348650292791e-07, 6.234348650292791e-07]","[0.643643829788082, 0.688036569981236, 0.663479681728896, 0.6521492085305267, 0.6478965191593042, 0.645770174473693, 0.6447070021308876, 0.6441754159594848, 0.6439096228737833, 0.6437767263309326, 0.6437102780595072, 0.6436770539237946, 0.6436604418559383, 0.6436521358220101, 0.6436479828050461, 0.643645906296564, 0.643644868042323, 0.6436443489152024, 0.6436443489152024]"
15,0.0,3.4296991373493984e-07,"[0, 0.044953752533066035, 0.022476876266533018, 0.011238438133266509, 0.005619219066633254, 0.002809609533316627, 0.0014048047666583136, 0.0007024023833291568, 0.0003512011916645784, 0.0001756005958322892, 8.78002979161446e-05, 4.39001489580723e-05, 2.195007447903615e-05, 1.0975037239518075e-05, 5.4875186197590375e-06, 2.7437593098795188e-06, 1.3718796549397594e-06, 6.859398274698797e-07, 6.859398274698797e-07]","[0.6301191285387919, 0.7237569266258995, 0.6754721054573812, 0.651329694873122, 0.6392584895809924, 0.6332228869349277, 0.6316640952652142, 0.630891611902003, 0.6305053702203975, 0.6303122493795947, 0.6302156889591932, 0.6301674087489927, 0.6301432686438924, 0.630131198591342, 0.6301251635650671, 0.6301221460519295, 0.6301206372953607, 0.6301198829170763, 0.6301198829170763]"
16,0.0,3.1122894780880053e-07,"[0, 0.040793400647195104, 0.020396700323597552, 0.010198350161798776, 0.005099175080899388, 0.002549587540449694, 0.001274793770224847, 0.0006373968851124235, 0.00031869844255621175, 0.00015934922127810587, 7.967461063905294e-05, 3.983730531952647e-05, 1.9918652659763234e-05, 9.959326329881617e-06, 4.9796631649408085e-06, 2.4898315824704043e-06, 1.2449157912352021e-06, 6.224578956176011e-07, 6.224578956176011e-07]","[0.703063303616732, 0.732933496139301, 0.7179983998780165, 0.7105308517473742, 0.706797077682053, 0.7049301906493926, 0.7039967471330623, 0.7035300253748971, 0.7032966644958146, 0.7031799840562734, 0.7031216438365027, 0.7030924737266172, 0.7030778886716746, 0.7030705961442034, 0.7030669498804677, 0.7030651267485998, 0.7030642151826659, 0.7030637593996989, 0.7030637593996989]"
17,0.0,2.9074738607605204e-07,"[0, 0.038108841387760294, 0.019054420693880147, 0.009527210346940073, 0.004763605173470037, 0.0023818025867350183, 0.0011909012933675092, 0.0005954506466837546, 0.0002977253233418773, 0.00014886266167093865, 7.443133083546932e-05, 3.721566541773466e-05, 1.860783270886733e-05, 9.303916354433665e-06, 4.651958177216833e-06, 2.3259790886084164e-06, 1.1629895443042082e-06, 5.814947721521041e-07, 5.814947721521041e-07]","[0.6529342845347633, 0.6736725321881492, 0.6623321306439935, 0.6576332075893784, 0.655283746062071, 0.654109015298417, 0.6535216499165903, 0.6532279672256768, 0.6530811258802202, 0.6530077052074917, 0.6529709948711276, 0.6529526397029455, 0.6529434621188545, 0.652938873326809, 0.6529365789307862, 0.6529354317327749, 0.6529348581337692, 0.6529345713342662, 0.6529345713342662]"
18,0.0,3.0704171421135293e-07,"[0, 0.04024457156511045, 0.020122285782555226, 0.010061142891277613, 0.005030571445638806, 0.002515285722819403, 0.0012576428614097016, 0.0006288214307048508, 0.0003144107153524254, 0.0001572053576762127, 7.860267883810635e-05, 3.9301339419053175e-05, 1.9650669709526588e-05, 9.825334854763294e-06, 4.912667427381647e-06, 2.4563337136908234e-06, 1.2281668568454117e-06, 6.140834284227059e-07, 6.140834284227059e-07]","[0.5719687063811433, 0.6535148109595738, 0.6127417586703585, 0.592355232525751, 0.5821619694534471, 0.5770653379172952, 0.5745170221492193, 0.5732428642651812, 0.5726057853231623, 0.5722872458521527, 0.572127976116648, 0.5720483412488957, 0.5720085238150194, 0.5719886150980814, 0.5719786607396123, 0.5719736835603778, 0.5719711949707607, 0.5719699506759519, 0.5719699506759519]"
19,0.0,3.417550331431422e-07,"[0, 0.044794515704137935, 0.022397257852068968, 0.011198628926034484, 0.005599314463017242, 0.002799657231508621, 0.0013998286157543105, 0.0006999143078771552, 0.0003499571539385776, 0.0001749785769692888, 8.74892884846444e-05, 4.37446442423222e-05, 2.18723221211611e-05, 1.093616106058055e-05, 5.468080530290275e-06, 2.7340402651451377e-06, 1.3670201325725688e-06, 6.835100662862844e-07, 6.835100662862844e-07]","[0.7736621239584691, 0.800552327670706, 0.7871072258145876, 0.7803846748865284, 0.7770233994224987, 0.7753427616904839, 0.7745024428244764, 0.7740822833914728, 0.773872203674971, 0.7737671638167201, 0.7737146438875945, 0.7736883839230317, 0.7736752539407504, 0.7736686889496097, 0.7736654064540394, 0.7736637652062542, 0.7736629445823616, 0.7736625342704153, 0.7736625342704153]"
20,0.0,3.6484759146844483e-07,"[0, 0.047821303508952, 0.023910651754476, 0.011955325877238, 0.005977662938619, 0.0029888314693095, 0.00149441573465475, 0.000747207867327375, 0.0003736039336636875, 0.00018680196683184375, 9.340098341592188e-05, 4.670049170796094e-05, 2.335024585398047e-05, 1.1675122926990235e-05, 5.837561463495117e-06, 2.9187807317475587e-06, 1.4593903658737793e-06, 7.296951829368897e-07, 7.296951829368897e-07]","[0.8215100532919005, 0.8499706855123003, 0.8295105394773308, 0.8254535862224883, 0.8234818197571944, 0.8224959365245474, 0.8220029949082241, 0.8217565241000624, 0.8216332886959814, 0.821571670993941, 0.8215408621429208, 0.8215254577174108, 0.8215177555046558, 0.8215139043982781, 0.8215119788450893, 0.821511016068495, 0.8215105346801979, 0.8215102939860491, 0.8215102939860491]"
21,0.0,3.3312075018395076e-07,"[0, 0.043662802968110793, 0.021831401484055397, 0.010915700742027698, 0.005457850371013849, 0.0027289251855069246, 0.0013644625927534623, 0.0006822312963767311, 0.0003411156481883656, 0.0001705578240941828, 8.52789120470914e-05, 4.26394560235457e-05, 2.131972801177285e-05, 1.0659864005886424e-05, 5.329932002943212e-06, 2.664966001471606e-06, 1.332483000735803e-06, 6.662415003679015e-07, 6.662415003679015e-07]","[0.6039693690331019, 0.7046887846351153, 0.65417456248971, 0.6289174514170074, 0.616288895880656, 0.6099746181124804, 0.6068174792283926, 0.6052389097863486, 0.6044902930279129, 0.6042298310305074, 0.6040996000318047, 0.6040344845324533, 0.6040019267827776, 0.6039856479079397, 0.6039775084705209, 0.6039734387518114, 0.6039714038924566, 0.6039703864627793, 0.6039703864627793]"
22,0.0,2.773772511888135e-07,"[0, 0.03635639106782016, 0.01817819553391008, 0.00908909776695504, 0.00454454888347752, 0.00227227444173876, 0.00113613722086938, 0.00056806861043469, 0.000284034305217345, 0.0001420171526086725, 7.100857630433625e-05, 3.5504288152168126e-05, 1.7752144076084063e-05, 8.876072038042031e-06, 4.438036019021016e-06, 2.219018009510508e-06, 1.109509004755254e-06, 5.54754502377627e-07, 5.54754502377627e-07]","[0.5840008396636683, 0.6117691219567933, 0.5973532977472934, 0.5906770687054809, 0.5873389541845746, 0.5856698969241215, 0.5848353682938949, 0.5844181039787817, 0.5842094718212251, 0.5841051557424466, 0.5840529977030576, 0.584026918683363, 0.5840138791735157, 0.584007359418592, 0.5840040995411302, 0.5840024696023993, 0.5840016546330339, 0.5840012471483511, 0.5840012471483511]"
23,0.0,3.564088390770613e-07,"[0, 0.046715219355508576, 0.023357609677754288, 0.011678804838877144, 0.005839402419438572, 0.002919701209719286, 0.001459850604859643, 0.0007299253024298215, 0.00036496265121491075, 0.00018248132560745538, 9.124066280372769e-05, 4.5620331401863844e-05, 2.2810165700931922e-05, 1.1405082850465961e-05, 5.7025414252329805e-06, 2.8512707126164902e-06, 1.4256353563082451e-06, 7.128176781541226e-07, 7.128176781541226e-07]","[0.7002654382794304, 0.7448084762053548, 0.717594575423669, 0.7089300068515497, 0.70459772256549, 0.7024315804224602, 0.7013485093509453, 0.7008069738151878, 0.700536206047309, 0.7004008221633697, 0.7003331302214001, 0.7002992842504152, 0.7002823612649227, 0.7002738997721766, 0.7002696690258035, 0.700267553652617, 0.7002664959660236, 0.700265967122727, 0.700265967122727]"
24,0.0,2.8012107923633997e-07,"[0, 0.03671603009766555, 0.018358015048832776, 0.009179007524416388, 0.004589503762208194, 0.002294751881104097, 0.0011473759405520485, 0.0005736879702760243, 0.00028684398513801213, 0.00014342199256900607, 7.171099628450303e-05, 3.5855498142251517e-05, 1.7927749071125758e-05, 8.963874535562879e-06, 4.4819372677814396e-06, 2.2409686338907198e-06, 1.1204843169453599e-06, 5.602421584726799e-07, 5.602421584726799e-07]","[0.5870423119027616, 0.6209553834818459, 0.5997878784609135, 0.5922949569277097, 0.5896686344152356, 0.5883554731589986, 0.5876988925308801, 0.5873706022168208, 0.5872064570597911, 0.5871243844812762, 0.5870833481920189, 0.5870628300473901, 0.5870525709750759, 0.5870474414389186, 0.58704487667084, 0.5870435942868008, 0.5870429530947812, 0.5870426324987714, 0.5870426324987714]"
25,0.0,2.622448971679793e-07,"[0, 0.034372963161601384, 0.017186481580800692, 0.008593240790400346, 0.004296620395200173, 0.0021483101976000865, 0.0010741550988000433, 0.0005370775494000216, 0.0002685387747000108, 0.0001342693873500054, 6.71346936750027e-05, 3.356734683750135e-05, 1.6783673418750676e-05, 8.391836709375338e-06, 4.195918354687669e-06, 2.0979591773438345e-06, 1.0489795886719173e-06, 5.244897943359586e-07, 5.244897943359586e-07]","[0.5639239449897495, 0.5983602002670925, 0.581142072628421, 0.5725330088090852, 0.5682284768994175, 0.5660762109445836, 0.5650000779671666, 0.5644620114784581, 0.5641929782341037, 0.5640584616119267, 0.5639912033008381, 0.5639575741452938, 0.5639407595675217, 0.5639323522786357, 0.5639281486341926, 0.5639260468119711, 0.5639249959008603, 0.563924470445305, 0.563924470445305]"
26,0.0,3.166897733375748e-07,"[0, 0.041509161970902604, 0.020754580985451302, 0.010377290492725651, 0.0051886452463628255, 0.0025943226231814128, 0.0012971613115907064, 0.0006485806557953532, 0.0003242903278976766, 0.0001621451639488383, 8.107258197441915e-05, 4.0536290987209574e-05, 2.0268145493604787e-05, 1.0134072746802394e-05, 5.067036373401197e-06, 2.5335181867005984e-06, 1.2667590933502992e-06, 6.333795466751496e-07, 6.333795466751496e-07]","[0.6387336447048173, 0.6939593342674131, 0.6596145515081581, 0.6470935435089261, 0.6429135941068715, 0.6408236194058443, 0.6397786320553308, 0.6392561383800741, 0.6389948915424456, 0.6388642681236314, 0.6387989564142242, 0.6387663005595208, 0.638749972632169, 0.6387418086684931, 0.6387377266866552, 0.6387356856957362, 0.6387346652002768, 0.638734154952547, 0.638734154952547]"
27,0.0,4.726887829365428e-07,"[0, 0.03097813207852927, 0.015489066039264634, 0.007744533019632317, 0.0038722665098161585, 0.0019361332549080793, 0.0009680666274540396, 0.0004840333137270198, 0.0002420166568635099, 0.00012100832843175495, 6.050416421587748e-05, 3.025208210793874e-05, 1.512604105396937e-05, 7.563020526984685e-06, 3.7815102634923423e-06, 1.8907551317461712e-06, 9.453775658730856e-07, 9.453775658730856e-07]","[0.4666562738010482, 0.5218957109062032, 0.4893713727334599, 0.4756083911917016, 0.4711323324963749, 0.4688943031487115, 0.46777528847487987, 0.467215781137964, 0.466936027469506, 0.46679615063527713, 0.4667262122181627, 0.4666912430096054, 0.4666737584053268, 0.46666501610318756, 0.4666606449521179, 0.466658459376583, 0.4666573665888156, 0.4666573665888156]"
28,0.0,2.538402147717952e-07,"[0, 0.03327134463056874, 0.01663567231528437, 0.008317836157642184, 0.004158918078821092, 0.002079459039410546, 0.001039729519705273, 0.0005198647598526365, 0.00025993237992631826, 0.00012996618996315913, 6.498309498157957e-05, 3.249154749078978e-05, 1.624577374539489e-05, 8.122886872697446e-06, 4.061443436348723e-06, 2.0307217181743614e-06, 1.0153608590871807e-06, 5.076804295435904e-07, 5.076804295435904e-07]","[0.5130263831246537, 0.5624310195938748, 0.5377287013592642, 0.525377542241959, 0.5192019626833063, 0.5161141729039799, 0.5145702780143168, 0.5137983305694852, 0.5134123568470694, 0.5132193699858616, 0.5131228765552576, 0.5130746298399556, 0.5130505064823045, 0.5130384448034792, 0.5130324139640664, 0.5130293985443599, 0.5130278908345068, 0.5130271369795802, 0.5130271369795802]"
