Instance,Runtime,Optimal_Lambda,Lambdas,Objective_Values
1,0.01900005340576172,3.9048603018766306e-07,"[0, 0.00019992884745608349, 9.996442372804174e-05, 4.998221186402087e-05, 2.4991105932010436e-05, 1.2495552966005218e-05, 6.247776483002609e-06, 3.1238882415013045e-06, 1.5619441207506522e-06, 7.809720603753261e-07, 7.809720603753261e-07]","[0.9853773589874752, 0.9895142257278349, 0.9872921993644805, 0.9863069489888616, 0.9858407018175616, 0.985607873188451, 0.9854923870514517, 0.9854346439829523, 0.9854058784173481, 0.9853916187024119, 0.9853916187024119]"
2,0.0,3.9057646322331375e-07,"[0, 0.00019997514917033664, 9.998757458516832e-05, 4.999378729258416e-05, 2.499689364629208e-05, 1.249844682314604e-05, 6.24922341157302e-06, 3.12461170578651e-06, 1.562305852893255e-06, 7.811529264466275e-07, 7.811529264466275e-07]","[0.9848105424296117, 0.9888419115448058, 0.9866752967212736, 0.9857096958937941, 0.9852534113879312, 0.9850313232236623, 0.9849209203691945, 0.9848657189419612, 0.9848381182283441, 0.9848243178715358, 0.9848243178715358]"
3,0.01900005340576172,3.903234380972372e-07,"[0, 0.00019984560030578545, 9.992280015289272e-05, 4.996140007644636e-05, 2.498070003822318e-05, 1.249035001911159e-05, 6.245175009555795e-06, 3.1225875047778977e-06, 1.5612937523889488e-06, 7.806468761944744e-07, 7.806468761944744e-07]","[0.98407448323865, 0.9879860582334485, 0.9858371346861183, 0.9849222971974958, 0.9844953202570863, 0.9842842055688037, 0.9841786482246625, 0.9841265336695575, 0.9841005084541041, 0.9840874958463771, 0.9840874958463771]"
4,0.02200007438659668,3.9039206759258893e-07,"[0, 0.00019988073860740553, 9.994036930370277e-05, 4.997018465185138e-05, 2.498509232592569e-05, 1.2492546162962846e-05, 6.246273081481423e-06, 3.1231365407407115e-06, 1.5615682703703557e-06, 7.807841351851779e-07, 7.807841351851779e-07]","[0.9865397378002433, 0.9906803141940794, 0.9884925246091957, 0.9874636800614894, 0.9869885361655216, 0.9867602804152243, 0.9866500091077338, 0.9865948734539883, 0.9865673056271157, 0.9865535217136796, 0.9865535217136796]"
5,0.013000011444091797,3.904800357174024e-07,"[0, 0.00019992577828731003, 9.996288914365501e-05, 4.998144457182751e-05, 2.4990722285913753e-05, 1.2495361142956877e-05, 6.247680571478438e-06, 3.123840285739219e-06, 1.5619201428696096e-06, 7.809600714348048e-07, 7.809600714348048e-07]","[0.9860813070157793, 0.9902217385549182, 0.9879745182302123, 0.9869919568102148, 0.9865224020937134, 0.9862974772890452, 0.9861872301232428, 0.9861342685695108, 0.9861077877926453, 0.9860945474042124, 0.9860945474042124]"
6,0.01699995994567871,3.90340071664652e-07,"[0, 0.00019985411669230183, 9.992705834615092e-05, 4.996352917307546e-05, 2.498176458653773e-05, 1.2490882293268865e-05, 6.245441146634432e-06, 3.122720573317216e-06, 1.561360286658608e-06, 7.80680143329304e-07, 7.80680143329304e-07]","[0.9839991844910454, 0.988379745633114, 0.9860127124575119, 0.9849879617362756, 0.9844822539870384, 0.98423672892487, 0.984117240952909, 0.9840579281791879, 0.9840285563351172, 0.9840138704130814, 0.9840138704130814]"
7,0.016000032424926758,3.903541356304805e-07,"[0, 0.00019986131744280603, 9.993065872140301e-05, 4.9965329360701507e-05, 2.4982664680350753e-05, 1.2491332340175377e-05, 6.245666170087688e-06, 3.122833085043844e-06, 1.561416542521922e-06, 7.80708271260961e-07, 7.80708271260961e-07]","[0.9854095795267203, 0.9894904678878474, 0.9873080917441757, 0.9863266787991817, 0.9858609221256581, 0.9856323286903059, 0.9855209139697294, 0.9854652467482249, 0.9854374131374728, 0.9854234963320958, 0.9854234963320958]"
8,0.016000032424926758,3.9021226215346426e-07,"[0, 0.0001997886782225737, 9.989433911128685e-05, 4.9947169555643426e-05, 2.4973584777821713e-05, 1.2486792388910856e-05, 6.243396194455428e-06, 3.121698097227714e-06, 1.560849048613857e-06, 7.804245243069285e-07, 7.804245243069285e-07]","[0.9839162270385425, 0.9877207554438671, 0.985644907299357, 0.9847378762066619, 0.984319433909047, 0.9841150510733367, 0.9840148927067774, 0.9839655598726599, 0.983940893455601, 0.9839285602470718, 0.9839285602470718]"
9,0.0,3.9035038584901e-07,"[0, 0.00019985939755469312, 9.992969877734656e-05, 4.996484938867328e-05, 2.498242469433664e-05, 1.249121234716832e-05, 6.24560617358416e-06, 3.12280308679208e-06, 1.56140154339604e-06, 7.8070077169802e-07, 7.8070077169802e-07]","[0.9834720803134706, 0.9878296177139958, 0.985460721541277, 0.9844302887813073, 0.983945903327731, 0.9837089918206008, 0.9835905360670355, 0.983531308190253, 0.9835016942518621, 0.9834868872826663, 0.9834868872826663]"
10,0.0,3.905685811260795e-07,"[0, 0.0001999711135365527, 9.998555676827635e-05, 4.9992778384138176e-05, 2.4996389192069088e-05, 1.2498194596034544e-05, 6.249097298017272e-06, 3.124548649008636e-06, 1.562274324504318e-06, 7.81137162252159e-07, 7.81137162252159e-07]","[0.9864121088269932, 0.99059620423831, 0.9882976201171662, 0.9873327646283158, 0.9868666665743194, 0.9866368940370912, 0.9865239354260862, 0.9864680221265393, 0.986440065476766, 0.9864260871518794, 0.9864260871518794]"
11,0.031999826431274414,3.906161281856906e-07,"[0, 0.0001999954576310736, 9.99977288155368e-05, 4.99988644077684e-05, 2.49994322038842e-05, 1.24997161019421e-05, 6.24985805097105e-06, 3.124929025485525e-06, 1.5624645127427624e-06, 7.812322563713812e-07, 7.812322563713812e-07]","[0.9863670643430271, 0.9903764082518819, 0.9882389032762393, 0.9872761607291539, 0.9868106937820397, 0.9865862738865393, 0.9864756477892168, 0.9864213560661222, 0.9863942102045747, 0.9863806372738011, 0.9863806372738011]"
12,0.012000083923339844,3.904169489804664e-07,"[0, 0.0001998934778779988, 9.99467389389994e-05, 4.99733694694997e-05, 2.498668473474985e-05, 1.2493342367374924e-05, 6.246671183687462e-06, 3.123335591843731e-06, 1.5616677959218655e-06, 7.808338979609328e-07, 7.808338979609328e-07]","[0.9842737654445447, 0.9896120475426915, 0.9866288019774737, 0.9853732238501606, 0.9848182364255624, 0.9845458776982754, 0.9844098215714099, 0.9843417935079773, 0.9843077794762608, 0.9842907724604029, 0.9842907724604029]"
13,0.015999794006347656,3.9057147009060597e-07,"[0, 0.00019997259268639026, 9.998629634319513e-05, 4.9993148171597564e-05, 2.4996574085798782e-05, 1.2498287042899391e-05, 6.2491435214496955e-06, 3.1245717607248478e-06, 1.5622858803624239e-06, 7.811429401812119e-07, 7.811429401812119e-07]","[0.9856055215045092, 0.9897653129877917, 0.9875193951592584, 0.9865230993542148, 0.9860586172559865, 0.9858314304463607, 0.9857178613893995, 0.9856615352371779, 0.9856333721610671, 0.9856193851218553, 0.9856193851218553]"
14,0.0,3.9040361547318875e-07,"[0, 0.00019988665112227264, 9.994332556113632e-05, 4.997166278056816e-05, 2.498583139028408e-05, 1.249291569514204e-05, 6.24645784757102e-06, 3.12322892378551e-06, 1.561614461892755e-06, 7.808072309463775e-07, 7.808072309463775e-07]","[0.9824369249628131, 0.98735512484647, 0.9846411134441068, 0.9834823983702033, 0.9829470910250897, 0.9826900683342366, 0.9825626235730015, 0.9824997392471267, 0.9824683321049698, 0.9824526285338911, 0.9824526285338911]"
15,0.01699995994567871,3.9049026087618686e-07,"[0, 0.00019993101356860767, 9.996550678430384e-05, 4.998275339215192e-05, 2.499137669607596e-05, 1.249568834803798e-05, 6.24784417401899e-06, 3.123922087009495e-06, 1.5619610435047474e-06, 7.809805217523737e-07, 7.809805217523737e-07]","[0.9825146879516954, 0.9871484494519297, 0.9846278498337238, 0.983545006076013, 0.9830217565283971, 0.9827629065723381, 0.982637872986037, 0.9825762804688667, 0.9825454842102816, 0.9825300860809887, 0.9825300860809887]"
16,0.017999887466430664,3.905912359062137e-07,"[0, 0.0001999827127839814, 9.99913563919907e-05, 4.999567819599535e-05, 2.4997839097997677e-05, 1.2498919548998838e-05, 6.249459774499419e-06, 3.1247298872497096e-06, 1.5623649436248548e-06, 7.811824718124274e-07, 7.811824718124274e-07]","[0.9850322880654324, 0.9892272669765968, 0.9869367184340863, 0.9859685950392985, 0.9854956186544228, 0.9852630844111727, 0.9851472077789516, 0.9850897479221918, 0.9850610179938123, 0.9850466530296224, 0.9850466530296224]"
17,0.017999887466430664,3.904871122928743e-07,"[0, 0.00019992940149395164, 9.996470074697582e-05, 4.998235037348791e-05, 2.4991175186743955e-05, 1.2495587593371978e-05, 6.247793796685989e-06, 3.1238968983429944e-06, 1.5619484491714972e-06, 7.809742245857486e-07, 7.809742245857486e-07]","[0.9842478546413121, 0.9888016089250022, 0.9863389717370369, 0.9852494337870163, 0.9847443020552491, 0.9844937147669794, 0.9843701844390835, 0.9843089933512388, 0.9842784239962754, 0.9842631393187933, 0.9842631393187933]"
18,0.015000104904174805,3.9045167799760645e-07,"[0, 0.0001999112591347745, 9.995562956738725e-05, 4.9977814783693625e-05, 2.4988907391846813e-05, 1.2494453695923406e-05, 6.247226847961703e-06, 3.1236134239808516e-06, 1.5618067119904258e-06, 7.809033559952129e-07, 7.809033559952129e-07]","[0.9837911666273961, 0.9884705170939561, 0.985897309592718, 0.98479861579885, 0.9842824773640908, 0.9840349128920087, 0.983913039759702, 0.9838521031935485, 0.9838216349104723, 0.9838064007689338, 0.9838064007689338]"
19,0.012000083923339844,3.905873347207963e-07,"[0, 0.0001999807153770477, 9.999035768852386e-05, 4.999517884426193e-05, 2.4997589422130964e-05, 1.2498794711065482e-05, 6.249397355532741e-06, 3.1246986777663705e-06, 1.5623493388831853e-06, 7.811746694415926e-07, 7.811746694415926e-07]","[0.985663508936462, 0.9899810248367075, 0.9876626659031414, 0.9866347357099132, 0.9861406073809788, 0.9859016053161256, 0.985782557126294, 0.985723033031378, 0.9856932709839201, 0.9856783899601909, 0.9856783899601909]"
20,0.009000062942504883,3.905979291421263e-07,"[0, 0.00019998613972076865, 9.999306986038433e-05, 4.999653493019216e-05, 2.499826746509608e-05, 1.249913373254804e-05, 6.24956686627402e-06, 3.12478343313701e-06, 1.562391716568505e-06, 7.811958582842525e-07, 7.811958582842525e-07]","[0.9859342041620117, 0.9903938611414336, 0.9880141085712663, 0.9869314982055395, 0.9864170933691192, 0.9861713646923295, 0.9860519583007538, 0.9859930763756436, 0.9859636402688274, 0.9859489222154201, 0.9859489222154201]"
21,0.014999866485595703,3.9034397442745534e-07,"[0, 0.00019985611490685713, 9.992805745342857e-05, 4.996402872671428e-05, 2.498201436335714e-05, 1.249100718167857e-05, 6.245503590839285e-06, 3.1227517954196427e-06, 1.5613758977098214e-06, 7.806879488549107e-07, 7.806879488549107e-07]","[0.9837223048971122, 0.9884649576355128, 0.9858811236217367, 0.9847562607552888, 0.9842362080044372, 0.9839790581709661, 0.9838506815340391, 0.9837864932155755, 0.9837543990563437, 0.9837383519767279, 0.9837383519767279]"
22,0.01100015640258789,3.905350328844476e-07,"[0, 0.00019995393683683717, 9.997696841841858e-05, 4.998848420920929e-05, 2.4994242104604646e-05, 1.2497121052302323e-05, 6.2485605261511614e-06, 3.1242802630755807e-06, 1.5621401315377904e-06, 7.810700657688952e-07, 7.810700657688952e-07]","[0.9843400265644294, 0.9891229342628339, 0.9865087717750594, 0.9853736132529609, 0.9848498754258531, 0.9845918604071748, 0.9844644189358174, 0.9844020544183238, 0.9843710404913765, 0.9843555335279026, 0.9843555335279026]"
23,0.014999866485595703,3.904172198743585e-07,"[0, 0.00019989361657567155, 9.994680828783577e-05, 4.997340414391789e-05, 2.4986702071958943e-05, 1.2493351035979472e-05, 6.246675517989736e-06, 3.123337758994868e-06, 1.561668879497434e-06, 7.80834439748717e-07, 7.80834439748717e-07]","[0.9840032854399048, 0.9887745913604151, 0.9860896671499085, 0.9850086410118345, 0.9844988375745938, 0.9842485413032459, 0.9841255634269852, 0.9840643907359599, 0.9840338043904473, 0.9840185112176908, 0.9840185112176908]"
24,0.014999866485595703,3.9034445833119535e-07,"[0, 0.00019985636266557202, 9.992818133278601e-05, 4.9964090666393004e-05, 2.4982045333196502e-05, 1.2491022666598251e-05, 6.2455113332991255e-06, 3.1227556666495628e-06, 1.5613778333247814e-06, 7.806889166623907e-07, 7.806889166623907e-07]","[0.9848227699965807, 0.9885979672482623, 0.9864950948097464, 0.9856240898536013, 0.9852166900885484, 0.9850173090646613, 0.984919932535071, 0.9848713512658263, 0.9848470606312033, 0.9848349153138921, 0.9848349153138921]"
