Instance,Runtime,Optimal_Lambda,Lambdas,Objective_Values
12,0.002000093460083008,4.88021186225583e-07,"[0, 0.000499733694694997, 0.0002498668473474985, 0.00012493342367374925, 6.246671183687462e-05, 3.123335591843731e-05, 1.5616677959218656e-05, 7.808338979609328e-06, 3.904169489804664e-06, 1.952084744902332e-06, 9.76042372451166e-07, 9.76042372451166e-07]","[0.9842737654445447, 0.9894499472302564, 0.9865472153702695, 0.9853317051778787, 0.9847975188714971, 0.9845354976984402, 0.9844046315714924, 0.9843391985080189, 0.9843064819762816, 0.9842901237104129, 0.984281944577479, 0.984281944577479]"
13,0.0,4.882143376132574e-07,"[0, 0.0004999314817159756, 0.0002499657408579878, 0.0001249828704289939, 6.249143521449695e-05, 3.1245717607248475e-05, 1.5622858803624238e-05, 7.811429401812119e-06, 3.905714700906059e-06, 1.9528573504530297e-06, 9.764286752265148e-07, 9.764286752265148e-07]","[0.9856055215045092, 0.9895971747803058, 0.9874348409271277, 0.9864802448476494, 0.9860372481996351, 0.9858207459181852, 0.9857124947774606, 0.9856588502720183, 0.9856320296784875, 0.985618715409539, 0.9856121184570237, 0.9856121184570237]"
14,0.019999980926513672,4.880045193414859e-07,"[0, 0.0004997166278056816, 0.0002498583139028408, 0.0001249291569514204, 6.24645784757102e-05, 3.12322892378551e-05, 1.561614461892755e-05, 7.808072309463774e-06, 3.904036154731887e-06, 1.9520180773659436e-06, 9.760090386829718e-07, 9.760090386829718e-07]","[0.9824369249628131, 0.9871865079161612, 0.9845543943481259, 0.9834395352538454, 0.9829255678651942, 0.9826793780664356, 0.982557278439101, 0.9824970649244503, 0.9824669949436318, 0.982451959953222, 0.9824444424580173, 0.9824444424580173]"
15,0.01100015640258789,4.881128260952336e-07,"[0, 0.0004998275339215192, 0.0002499137669607596, 0.0001249568834803798, 6.24784417401899e-05, 3.123922087009495e-05, 1.5619610435047475e-05, 7.809805217523737e-06, 3.904902608761869e-06, 1.9524513043809343e-06, 9.762256521904672e-07, 9.762256521904672e-07]","[0.9825146879516954, 0.9869738667547334, 0.9845431454811554, 0.9835024409936681, 0.9830004739872241, 0.9827522595349123, 0.9826325501759111, 0.9825736190638039, 0.9825441535077499, 0.9825294207297233, 0.9825220543407095, 0.9825220543407095]"
16,0.004999876022338867,4.882390448827672e-07,"[0, 0.0004999567819599536, 0.0002499783909799768, 0.0001249891954899884, 6.24945977449942e-05, 3.12472988724971e-05, 1.562364943624855e-05, 7.811824718124275e-06, 3.905912359062137e-06, 1.9529561795310686e-06, 9.764780897655343e-07, 9.764780897655343e-07]","[0.9850322880654324, 0.989051607314828, 0.9868519485249563, 0.9859259657070327, 0.9854743397582971, 0.9852524449631097, 0.9851418764520361, 0.9850870822587341, 0.9850596851620832, 0.9850459866137579, 0.985039137339595, 0.985039137339595]"
17,0.0,4.881088903660929e-07,"[0, 0.0004998235037348792, 0.0002499117518674396, 0.0001249558759337198, 6.24779379668599e-05, 3.123896898342995e-05, 1.5619484491714974e-05, 7.809742245857487e-06, 3.904871122928743e-06, 1.9524355614643717e-06, 9.762177807321859e-07, 9.762177807321859e-07]","[0.9842478546413121, 0.9886400480985351, 0.9862566717212923, 0.9852084929160845, 0.9847238963392132, 0.9844835094254644, 0.9843650817683268, 0.9843064291454772, 0.9842771418933945, 0.9842624982673532, 0.9842551764543326, 0.9842551764543326]"
18,0.014999866485595703,4.880645974970081e-07,"[0, 0.0004997781478369363, 0.0002498890739184681, 0.00012494453695923406, 6.247226847961703e-05, 3.1236134239808516e-05, 1.5618067119904258e-05, 7.809033559952129e-06, 3.9045167799760645e-06, 1.9522583899880322e-06, 9.761291949940161e-07, 9.761291949940161e-07]","[0.9837911666273961, 0.9882882977611166, 0.9858074652546832, 0.9847532284244257, 0.984259903572954, 0.9840236050756093, 0.9839073858515022, 0.9838492762394491, 0.9838202214334224, 0.9838056940304086, 0.983798430328902, 0.983798430328902]"
19,0.009999990463256836,4.882341684009954e-07,"[0, 0.0004999517884426192, 0.0002499758942213096, 0.0001249879471106548, 6.24939735553274e-05, 3.12469867776637e-05, 1.562349338883185e-05, 7.811746694415926e-06, 3.905873347207963e-06, 1.9529366736039814e-06, 9.764683368019907e-07, 9.764683368019907e-07]","[0.985663508936462, 0.9898010645422891, 0.9875696665109263, 0.9865881504031249, 0.9861176091272547, 0.9858901035504687, 0.9857768062434654, 0.9857201575899637, 0.9856918332632127, 0.9856776710998373, 0.9856705900181498, 0.9856705900181498]"
20,0.017999887466430664,4.882474114276579e-07,"[0, 0.0004999653493019217, 0.00024998267465096085, 0.00012499133732548042, 6.249566866274021e-05, 3.1247834331370106e-05, 1.5623917165685053e-05, 7.811958582842527e-06, 3.905979291421263e-06, 1.9529896457106316e-06, 9.764948228553158e-07, 9.764948228553158e-07]","[0.9859342041620117, 0.9902144568274343, 0.987924670263825, 0.9868863930584646, 0.9863944268212095, 0.9861599786965791, 0.9860462709775135, 0.9859902324247785, 0.9859622182933951, 0.9859482112277038, 0.9859412076948577, 0.9859412076948577]"
21,0.005000114440917969,4.879299680343191e-07,"[0, 0.0004996402872671428, 0.0002498201436335714, 0.0001249100718167857, 6.245503590839285e-05, 3.1227517954196424e-05, 1.5613758977098212e-05, 7.806879488549106e-06, 3.903439744274553e-06, 1.9517198721372765e-06, 9.758599360686382e-07, 9.758599360686382e-07]","[0.9837223048971122, 0.9882926348488418, 0.9857954440582969, 0.9847136789880067, 0.984214793842979, 0.9839682897359607, 0.9838452973165362, 0.9837838011068241, 0.9837530530019679, 0.9837376789495398, 0.983729991923326, 0.983729991923326]"
22,0.0,4.881687911055595e-07,"[0, 0.0004998848420920929, 0.00024994242104604646, 0.00012497121052302323, 6.248560526151161e-05, 3.124280263075581e-05, 1.5621401315377904e-05, 7.810700657688952e-06, 3.905350328844476e-06, 1.952675164422238e-06, 9.76337582211119e-07, 9.76337582211119e-07]","[0.9843400265644294, 0.988953921135848, 0.986424929105601, 0.985331183244179, 0.9848285086337928, 0.9845811637343952, 0.9844590778774375, 0.9843993742024149, 0.984369700383422, 0.9843548634739258, 0.9843474450191771, 0.9843474450191771]"
23,0.006000041961669922,4.880215248429481e-07,"[0, 0.0004997340414391789, 0.0002498670207195894, 0.0001249335103597947, 6.246675517989736e-05, 3.123337758994868e-05, 1.561668879497434e-05, 7.80834439748717e-06, 3.904172198743585e-06, 1.9520860993717924e-06, 9.760430496858962e-07, 9.760430496858962e-07]","[0.9840032854399048, 0.9885978309586583, 0.9860020888442065, 0.9849643342951313, 0.9844768261646495, 0.9842374894066566, 0.9841200435179064, 0.984061630781421, 0.9840324244131774, 0.9840178212290565, 0.9840105196369962, 0.9840105196369962]"
