Instance,Runtime,Optimal_Value
1,0.0,0.4971500337457483
2,0.0,0.6657766071860693
3,0.0,0.58602475515359
4,0.0,0.5002095535822928
5,0.0010001659393310547,0.6368073778177009
6,0.0,0.6157109450332692
7,0.0,0.6121755720185528
8,0.0,0.5881553806858444
9,0.0,0.46884042488556643
10,0.0,0.6076286824172403
11,0.0,0.6238925770509622
12,0.0,0.4137030051211886
13,0.0,0.2731844744414388
14,0.0,0.5126423069309727
15,0.0009999275207519531,0.517109029022326
16,0.0,0.5098113012114991
17,0.0,0.5095693203503778
18,0.0,0.5183689310494579
19,0.0010001659393310547,0.6429723658362192
20,0.0,0.6886703515737098
21,0.0,0.49996552711639564
22,0.0,0.468214533614537
23,0.0,0.5684333388666631
24,0.0,0.45955298669252664
25,0.0,0.44971426777584533
26,0.0,0.4507631599155538
27,0.0009999275207519531,0.3713676468836055
28,0.0,0.39858085713547825
29,0.0,0.5722701356312123
30,0.0009999275207519531,0.35111009375639224
31,0.0,0.5837262646620509
32,0.0,0.5732985723345906
33,0.0009999275207519531,0.5560684480737363
34,0.0,0.44077908094612916
35,0.0009999275207519531,0.4154608905602175
36,0.0,0.6229594427563151
37,0.0009999275207519531,0.45015487928621883
38,0.0,0.519707902500065
39,0.0,0.6579069258270345
40,0.0,0.5523164510120284
41,0.0,0.567742671000834
42,0.0009999275207519531,0.2503076626888648
43,0.0,0.5815688045807996
44,0.0010001659393310547,0.41224155767523296
45,0.0010001659393310547,0.49739585207778014
46,0.0,0.5939351364706456
47,0.0,0.4536884422566426
48,0.0,0.570172104043021
49,0.0,0.4096383841449342
50,0.0,0.5678492826855326
51,0.0,0.30848939820066673
52,0.0,0.43332892048764704
53,0.0009999275207519531,0.5396594786844425
54,0.0,0.43016367623571616
55,0.003000020980834961,0.5508829661535415
56,0.0009999275207519531,0.5353105640565584
57,0.0,0.5353267584983057
58,0.0,0.48016745921928533
59,0.0009999275207519531,0.5388325016831548
60,0.0,0.3597228962122131
61,0.0,0.4179462955419152
62,0.0,0.5741820103016748
63,0.0,0.5540498227315528
64,0.0,0.5976432328826309
65,0.0009999275207519531,0.34662163908014376
66,0.0009999275207519531,0.5867718314176841
67,0.0,0.5788807888391989
68,0.0,0.3899529653227438
69,0.0,0.5337411482938399
70,0.0,0.5757594092744617
71,0.0009999275207519531,0.5131136963315339
72,0.0,0.5851748326469407
73,0.0,0.203606426072757
74,0.0,0.49420660880163103
75,0.0,0.44255670332745634
76,0.0,0.6640973319269445
77,0.0,0.49608716662220464
78,0.0,0.5782732392651784
79,0.0,0.5114945565217313
80,0.0,0.36953852852762525
81,0.0009999275207519531,0.27587616965770867
82,0.0,0.6448867243150518
83,0.0,0.559274078746429
84,0.0009999275207519531,0.42226695112883655
85,0.0009999275207519531,0.5627089737146012
86,0.0010001659393310547,0.49514334102903323
87,0.0010001659393310547,0.42846744480024135
88,0.0,0.34265186154523497
89,0.0009999275207519531,0.5733624232550104
90,0.0,0.5364699175989827
91,0.0009999275207519531,0.6352553683502709
92,0.0,0.4765556816721741
93,0.0,0.4186419944146359
94,0.0,0.5184134313052393
95,0.0,0.6118615153280159
96,0.0,0.532443601289721
97,0.0009999275207519531,0.640636396602159
98,0.0009999275207519531,0.5879275851881097
99,0.0,0.4564152079021019
100,0.0,0.4508978518424317
