Instance,Runtime,Optimal_Value,Dual_Bound,Primal_Bound
1,0.016000032424926758,3.9048603018766306e-07,"[0.9895142257278349, 0.9872921993644805, 0.9863069489888616, 0.9858407018175616, 0.985607873188451, 0.9854923870514517]","[0.9844646450311058, 0.9852792640167843, 0.9853744546462606, 0.9853744546462606, 0.9853769009144524, 0.9853769009144524]"
2,0.009999990463256836,3.9057646322331375e-07,"[0.9888419115448058, 0.9866752967212736, 0.9857096958937941, 0.9852534113879312, 0.9850313232236623, 0.9849209203691945]","[0.9839030285001263, 0.9847061163475502, 0.9847643130349271, 0.9848078254831566, 0.9848105175147274, 0.9848105175147274]"
3,0.026000022888183594,3.903234380972372e-07,"[0.9879860582334485, 0.9858371346861183, 0.9849222971974958, 0.9844953202570863, 0.9842842055688037, 0.9841786482246625]","[0.9831015626537315, 0.9839159562058926, 0.984047813158026, 0.984073090880521, 0.984073090880521, 0.984073090880521]"
4,0.015999794006347656,3.9039206759258893e-07,"[0.9906803141940794, 0.9884925246091957, 0.9874636800614894, 0.9869885361655216, 0.9867602804152243, 0.9866500091077338]","[0.9862325651979212, 0.9863605329599991, 0.9864956543996539, 0.9865275165004296, 0.9865397378002433, 0.9865397378002433]"
5,0.016000032424926758,3.904800357174024e-07,"[0.9902217385549182, 0.9879745182302123, 0.9869919568102148, 0.9865224020937134, 0.9862974772890452, 0.9861872301232428]","[0.9849940242761764, 0.9859125404094055, 0.9860299031399519, 0.9860578147765214, 0.986073651841755, 0.9860813070157796]"
6,0.016000032424926758,3.90340071664652e-07,"[0.988379745633114, 0.9860127124575119, 0.9849879617362756, 0.9844822539870384, 0.98423672892487, 0.984117240952909]","[0.9831818795271013, 0.9839355233775381, 0.9839753848021922, 0.9839843697347884, 0.9839977529809472, 0.9839977529809472]"
7,0.015999794006347656,3.903541356304805e-07,"[0.9894904678878474, 0.9873080917441757, 0.9863266787991817, 0.9858609221256581, 0.9856323286903059, 0.9855209139697294]","[0.984701360022114, 0.9852691684314152, 0.9853666266119006, 0.9854022680734356, 0.9854070055364057, 0.9854095795267201]"
8,0.014999866485595703,3.9021226215346426e-07,"[0.9877207554438671, 0.985644907299357, 0.9847378762066619, 0.984319433909047, 0.9841150510733367, 0.9840148927067774]","[0.9831002553014825, 0.9837536987623119, 0.9838834097061687, 0.9839062189035073, 0.9839123559948569, 0.9839162270385425]"
9,0.016000032424926758,3.9035038584901e-07,"[0.9878296177139958, 0.985460721541277, 0.9844302887813073, 0.983945903327731, 0.9837089918206008, 0.9835905360670355]","[0.982728204456677, 0.9832102836866876, 0.9834436231024594, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708]"
10,0.03099989891052246,3.905685811260795e-07,"[0.99059620423831, 0.9882976201171662, 0.9873327646283158, 0.9868666665743194, 0.9866368940370912, 0.9865239354260862]","[0.9855759512155842, 0.9862688161894537, 0.9863881365269157, 0.9864071214998633, 0.9864071214998633, 0.9864121088269926]"
11,0.016000032424926758,3.906161281856906e-07,"[0.9903764082518819, 0.9882389032762393, 0.9872761607291539, 0.9868106937820397, 0.9865862738865393, 0.9864756477892168]","[0.9856429578199318, 0.9862579734634771, 0.986326915794937, 0.9863568598995096, 0.9863623567789428, 0.9863670643430276]"
12,0.01699995994567871,3.904169489804664e-07,"[0.9896120475426915, 0.9866288019774737, 0.9853732238501606, 0.9848182364255624, 0.9845458776982754, 0.9844098215714099]","[0.9832875623368695, 0.9839081383821274, 0.9842476065127372, 0.9842659947385123, 0.9842737654445446, 0.9842737654445446]"
13,0.01699995994567871,3.9057147009060597e-07,"[0.9897653129877917, 0.9875193951592584, 0.9865230993542148, 0.9860586172559865, 0.9858314304463607, 0.9857178613893995]","[0.9845900401108295, 0.9854724255396144, 0.9855854012302125, 0.9856042436367358, 0.9856042436367358, 0.9856052090849565]"
14,0.016000032424926758,3.9040361547318875e-07,"[0.98735512484647, 0.9846411134441068, 0.9834823983702033, 0.9829470910250897, 0.9826900683342366, 0.9825626235730015]","[0.9813582270641897, 0.9822492341979104, 0.9823587394704094, 0.9824260378109007, 0.9824351788117666, 0.9824351788117666]"
15,0.0,3.9049026087618686e-07,"[0.9871484494519297, 0.9846278498337238, 0.983545006076013, 0.9830217565283971, 0.9827629065723381, 0.982637872986037]","[0.9810739621296203, 0.9823314207196467, 0.9824985069807801, 0.9824985069807801, 0.9825125080108811, 0.9825146879516962]"
