Instance,Runtime,Optimal_Value,Dual_Bound,Primal_Bound
16,0.02500009536743164,3.905912359062137e-07,"[0.9892272669765968, 0.9869367184340863, 0.9859685950392985, 0.9854956186544228, 0.9852630844111727, 0.9851472077789516]","[0.9839227789187367, 0.9849749005370831, 0.9850102244954065, 0.9850305501679226, 0.9850305501679226, 0.9850322880654322]"
17,0.0,3.904871122928743e-07,"[0.9888016089250022, 0.9863389717370369, 0.9852494337870163, 0.9847443020552491, 0.9844937147669794, 0.9843701844390835]","[0.9835239552604158, 0.9840689792123727, 0.9842105591871252, 0.984242610006449, 0.9842466541111884, 0.9842466541111884]"
18,0.018000125885009766,3.9045167799760645e-07,"[0.9884705170939561, 0.985897309592718, 0.98479861579885, 0.9842824773640908, 0.9840349128920087, 0.983913039759702]","[0.9828618289498174, 0.98358037147853, 0.9837482222764657, 0.9837749850966826, 0.9837911666273955, 0.9837911666273955]"
19,0.015000104904174805,3.905873347207963e-07,"[0.9899810248367075, 0.9876626659031414, 0.9866347357099132, 0.9861406073809788, 0.9859016053161256, 0.985782557126294]","[0.9848968581055763, 0.9855719017892763, 0.9856305635413621, 0.9856581418504746, 0.9856635089364623, 0.9856635089364623]"
20,0.017999887466430664,3.905979291421263e-07,"[0.9903938611414336, 0.9880141085712663, 0.9869314982055395, 0.9864170933691192, 0.9861713646923295, 0.9860519583007538]","[0.9850769696538099, 0.9857446115199407, 0.9858720719974333, 0.9859147033072299, 0.9859292624668959, 0.9859326476149598]"
21,0.01900005340576172,3.9034397442745534e-07,"[0.9884649576355128, 0.9858811236217367, 0.9847562607552888, 0.9842362080044372, 0.9839790581709661, 0.9838506815340391]","[0.9829483758766041, 0.9835179166798367, 0.9836928084134088, 0.9837177935285366, 0.9837223048971119, 0.9837223048971119]"
22,0.016000032424926758,3.905350328844476e-07,"[0.9891229342628339, 0.9865087717750594, 0.9853736132529609, 0.9848498754258531, 0.9845918604071748, 0.9844644189358174]","[0.9828335972949783, 0.9841553947771643, 0.9843139509823683, 0.9843326077135873, 0.9843368181699099, 0.9843389685694256]"
23,0.015000104904174805,3.904172198743585e-07,"[0.9887745913604151, 0.9860896671499085, 0.9850086410118345, 0.9844988375745938, 0.9842485413032459, 0.9841255634269852]","[0.9830004182363568, 0.9838310428048607, 0.9839679682745761, 0.9839968120839325, 0.9840000782947392, 0.9840032180449347]"
24,0.009999990463256836,3.9034445833119535e-07,"[0.9885979672482623, 0.9864950948097464, 0.9856240898536013, 0.9852166900885484, 0.9850173090646613, 0.984919932535071]","[0.9838742619480233, 0.9846433431696916, 0.9847800430217104, 0.9848164240428029, 0.9848204580932894, 0.9848227699965807]"
25,0.016000032424926758,3.9022931039683886e-07,"[0.9879706260078548, 0.9855297091596061, 0.9845438819559161, 0.9840846361140999, 0.9838598414656327, 0.9837484453939496]","[0.982718769481855, 0.9834236437609897, 0.9836193642059613, 0.9836304043873578, 0.9836370493222667, 0.9836370493222667]"
26,0.016000032424926758,3.9045056338279503e-07,"[0.9894519785222551, 0.9874149178034595, 0.9864737011031607, 0.9860185538570696, 0.9857931529629471, 0.9856813453314818]","[0.9849621430361611, 0.985481893721869, 0.9855478487638772, 0.9855634941910315, 0.9855695377000171, 0.9855695377000171]"
27,0.016000032424926758,3.90473842481872e-07,"[0.9897045610391946, 0.9870454490770022, 0.9859382787493638, 0.9854199379092311, 0.9851683419271605, 0.9850441982928583]","[0.9834854308079359, 0.9847322952234605, 0.9848762550060568, 0.9849160344243979, 0.9849200546585556, 0.9849200546585556]"
28,0.016000032424926758,3.905691988739699e-07,"[0.9885243283770845, 0.9860486048754472, 0.9849577662407962, 0.9844660504583362, 0.9842294406672936, 0.9841143108240372]","[0.9831332858623019, 0.9837710109729114, 0.9839576099736645, 0.9839849114216819, 0.9839991809807808, 0.9839991809807808]"
29,0.03900003433227539,3.9058537726965576e-07,"[0.9884919974280936, 0.9861409641894942, 0.9851289796749414, 0.9846617075900372, 0.9844325402715679, 0.9843179566123331]","[0.9829339567555652, 0.9840416221067447, 0.9841869187880042, 0.9842033729530986, 0.9842033729530986, 0.9842033729530986]"
30,0.016000032424926758,3.904920051626789e-07,"[0.9886627710807828, 0.9864228283308891, 0.9854593523581975, 0.984990161081873, 0.9847648994745999, 0.984653293474579]","[0.9834941644090922, 0.9844672755846013, 0.984508864477789, 0.9845396378673262, 0.9845396378673262, 0.9845436165967265]"
31,0.014999866485595703,3.9052586659701807e-07,"[0.9894590553188102, 0.987288481682859, 0.9863405333299545, 0.9858873384122845, 0.985661236943343, 0.9855481862088722]","[0.9846406564991398, 0.9852919673105683, 0.9854268787217639, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019]"
32,0.016000032424926758,3.905049245410825e-07,"[0.9901539381718915, 0.9879668005597024, 0.9869674840378502, 0.9864855315516818, 0.9862500618956221, 0.9861357690181592]","[0.985169605612997, 0.9859295042105524, 0.9859979380247782, 0.9860108342999774, 0.9860187666660766, 0.986022364291059]"
33,0.03800010681152344,3.902887196808993e-07,"[0.9886775869015059, 0.9866155486926274, 0.9856408085301127, 0.9851748589838139, 0.984946853127528, 0.9848339994870381]","[0.9839403265537042, 0.9846330113430697, 0.9846881377752882, 0.9847173940117502, 0.9847206683330927, 0.9847222730231132]"
34,0.014000177383422852,3.904099443784832e-07,"[0.9891216809801121, 0.9868836133529831, 0.9858737432036552, 0.9853790520322754, 0.9851364073559067, 0.9850170991472328]","[0.9842150179888689, 0.9848065432788888, 0.984876381856699, 0.9848918856410019, 0.9848949148350631, 0.9848984357544494]"
35,0.0,3.905338875992326e-07,"[0.9884478345070811, 0.9860448220448251, 0.9850375997139657, 0.9845604977976603, 0.9843234605301033, 0.9842049418963242]","[0.9829117019719742, 0.9839758019381055, 0.9840629308810075, 0.984086423262546, 0.984086423262546, 0.984086423262546]"
36,0.016000032424926758,3.905105935199135e-07,"[0.9883741935282828, 0.9861167765119446, 0.9851738392927859, 0.9847106966203786, 0.9844818795357004, 0.9843674709933611]","[0.9831613001966437, 0.9842171909066842, 0.9842456017125067, 0.9842530624510221, 0.9842530624510221, 0.9842530624510221]"
37,0.021000146865844727,3.905663882613247e-07,"[0.9899152196685952, 0.987709299500001, 0.9867345843183719, 0.9862634374262325, 0.9860340101758984, 0.9859192965507318]","[0.9850136189680166, 0.9856587255217807, 0.9857756533107481, 0.9858045829255646, 0.9858045829255646, 0.9858045829255646]"
38,0.016000032424926758,3.9034794538952976e-07,"[0.9879104485295528, 0.9855498303981942, 0.984512978413032, 0.9840159313396025, 0.9837783225853642, 0.9836617029858007]","[0.9825727893860308, 0.9833639405033412, 0.9834905650290032, 0.9835354216473217, 0.9835450833862374, 0.9835450833862374]"
39,0.0,3.9041570581065003e-07,"[0.9897447142552624, 0.9875034186410715, 0.986475669988435, 0.9859901860527626, 0.9857503856297734, 0.9856348172999481]","[0.9850893059252513, 0.9853778259415947, 0.9855047021170898, 0.9855047021170898, 0.9855132739656053, 0.9855200948189233]"
40,0.003999948501586914,3.9059520640593037e-07,"[0.9892921380895218, 0.9870289398780185, 0.986052915541196, 0.9855796347967656, 0.9853499688069997, 0.9852357684466994]","[0.984168465717369, 0.9849920527180644, 0.9850992162359993, 0.9851170613971089, 0.985121568086399, 0.985121568086399]"
41,0.015000104904174805,3.905726345294716e-07,"[0.9891706000273507, 0.9867714329531033, 0.9857494851989448, 0.9852646123812319, 0.9850257986452484, 0.9849099543321431]","[0.983865176266774, 0.9846691698536413, 0.9847483248798289, 0.9847869849092649, 0.9847869849092649, 0.9847948567327268]"
42,0.016000032424926758,3.905227915931346e-07,"[0.9890172866766382, 0.9866339551105581, 0.9855995566852928, 0.985111573053184, 0.9848760031354126, 0.9847611447722863]","[0.9836672590248249, 0.9844936678519416, 0.9846135762714274, 0.9846333079614604, 0.9846432951561958, 0.9846473884917397]"
43,0.016000032424926758,3.902911858925657e-07,"[0.98847146230477, 0.9862246541699216, 0.9852213974235378, 0.9847428796359892, 0.9845117386760349, 0.9844022016792501]","[0.9833303002272444, 0.9842103331528311, 0.9842282583250257, 0.9842721019601901, 0.9842904244541154, 0.9842950437147561]"
44,0.031000137329101562,3.905949771550775e-07,"[0.9889255503011662, 0.986398898457736, 0.9853566018445942, 0.9848654174809538, 0.9846262174771938, 0.9845086150002883]","[0.9831357829475512, 0.9841480814846525, 0.9843610940291159, 0.9843769917166612, 0.9843910125233827, 0.9843910125233827]"
45,0.016000032424926758,3.9060678939022625e-07,"[0.9904344151551409, 0.9881519442245092, 0.9871130091511449, 0.9866361552303553, 0.986407856953588, 0.9862955020179595]","[0.9854885599508516, 0.9860058399853993, 0.9861390340520116, 0.9861773343383495, 0.9861811255853633, 0.9861837048499722]"
46,0.015999794006347656,3.9061609974216304e-07,"[0.9905437086731841, 0.9883229405674671, 0.9873540410257721, 0.9868871927407056, 0.9866537685981721, 0.9865377707784471]","[0.98588259296258, 0.9863018214515583, 0.9864203444556389, 0.9864203444556389, 0.9864203444556389, 0.9864223435409297]"
47,0.016000032424926758,3.902747353287585e-07,"[0.9898775045053938, 0.987227480547488, 0.9860390411048646, 0.9854730801486226, 0.9851952119308954, 0.9850588323447733]","[0.9841876798465393, 0.984749320907009, 0.9848979872786878, 0.984912261439591, 0.9849207162453324, 0.9849230332887006]"
48,0.019999980926513672,3.902683286417431e-07,"[0.9886581784518643, 0.9865491984038122, 0.9856610274953199, 0.9852482294861971, 0.9850459896049311, 0.9849454023531088]","[0.9839857676592334, 0.9847331443775553, 0.9848215177592003, 0.9848437497236646, 0.9848437497236646, 0.9848452989798735]"
49,0.015000104904174805,3.9046906101343655e-07,"[0.9892503059880879, 0.9868887602378774, 0.9859013847072319, 0.9854288962663131, 0.9852044848550242, 0.9850936762489054]","[0.9839711443373489, 0.9847767946581253, 0.9849350837040076, 0.9849752668169531, 0.9849815906036027, 0.9849835438750352]"
50,0.019999980926513672,3.9036779071516066e-07,"[0.9887898597655302, 0.9866180845480985, 0.9856668100235548, 0.9852080118893101, 0.9849813976670018, 0.9848686515192858]","[0.9841156960188713, 0.9846669278938893, 0.9847478408127448, 0.9847526120486332, 0.9847559053715699, 0.9847559053715699]"
51,0.014999866485595703,3.9057291372640774e-07,"[0.9892509809303777, 0.986827914506252, 0.9857937464059534, 0.9852922486750453, 0.985052771289048, 0.9849345736176366]","[0.9834599168922349, 0.9846607671034104, 0.9847788440486156, 0.9847983854289292, 0.9848163759462258, 0.9848163759462258]"
52,0.016000032424926758,3.9052537453065094e-07,"[0.988855966280369, 0.9865018394311942, 0.9855111427763777, 0.9850437565486128, 0.9848199679524747, 0.984711209352564]","[0.983364324494352, 0.9844402525784529, 0.984552117632125, 0.9845837600650073, 0.9846007289854917, 0.9846040446050452]"
53,0.016000032424926758,3.9055686179060226e-07,"[0.9895838235138641, 0.987258760909256, 0.9862240214555673, 0.985740934645281, 0.9854998526419964, 0.985380891083923]","[0.9845752819489126, 0.9851375771427158, 0.9852578478349944, 0.9852578478349944, 0.9852619295258501, 0.9852619295258501]"
54,0.018000125885009766,3.9054926725632324e-07,"[0.9894748782424525, 0.9871276159353592, 0.9861028218383053, 0.9856269933008387, 0.9853911359225437, 0.9852744219096565]","[0.9844702894388498, 0.9849968310630423, 0.9851511647633717, 0.9851511647633717, 0.9851564535752575, 0.9851591727528266]"
55,0.02200007438659668,3.902784648548978e-07,"[0.9886546952460444, 0.9861403491382091, 0.9850504571713012, 0.9845284691944878, 0.9842749607328595, 0.9841511341421808]","[0.9827041963430042, 0.9838570126279055, 0.9839847164619764, 0.9840156000370845, 0.9840236214893647, 0.9840276144162753]"
56,0.016000032424926758,3.9055288944886686e-07,"[0.9890412438841734, 0.9866340860271726, 0.9856143681308055, 0.9851507762738266, 0.9849199504891339, 0.9848058125064094]","[0.9837262444854019, 0.9844867353705492, 0.9846705305132885, 0.9846882653385801, 0.9846916745236849, 0.9846916745236849]"
57,0.016000032424926758,3.9045926286544674e-07,"[0.9882991892908711, 0.9860016975062323, 0.9850150225046923, 0.9845409145527642, 0.9843056523507124, 0.9841903675435113]","[0.9831869334141959, 0.9839221270120628, 0.9840649458257877, 0.9840703901486608, 0.9840703901486608, 0.9840751065450701]"
58,0.0,3.9027811715963026e-07,"[0.9883475659903024, 0.9860362174419377, 0.9850347142970924, 0.9845583988100273, 0.9843260679661566, 0.9842116041934488]","[0.983277376570522, 0.9839857978719987, 0.9840794228679975, 0.9840905528262976, 0.9840942586472757, 0.9840990724373416]"
59,0.015000104904174805,3.9035946276597085e-07,"[0.9875821075840584, 0.9855113223928309, 0.984591955267365, 0.984163302188604, 0.9839577392188329, 0.9838566257330961]","[0.9830642527361033, 0.9836128586427618, 0.983719430534783, 0.9837481816588662, 0.983755512247359, 0.983755512247359]"
60,0.016000032424926758,3.904342140098507e-07,"[0.987983546371442, 0.9856224911928136, 0.9845945019736297, 0.9841236439297413, 0.9838917083175599, 0.9837757405114692]","[0.9827913444307788, 0.9834863388697807, 0.9835901287672013, 0.9836597727053785, 0.9836597727053785, 0.9836597727053785]"
61,0.015000104904174805,3.905199014274919e-07,"[0.9891030638524126, 0.9868359767083802, 0.9858402198777595, 0.9853646469978998, 0.9851300325214125, 0.9850140256561573]","[0.9840961833811857, 0.9847480298777701, 0.9848779496827725, 0.9848898179953499, 0.9848962968156663, 0.9848982095249286]"
62,0.0,3.904970121301751e-07,"[0.9875301565291723, 0.9848556626658431, 0.9837922756118024, 0.9833003532647421, 0.9830593054597728, 0.9829392690274593]","[0.9809776835807577, 0.9826567764315272, 0.9827923000903634, 0.9828146468414456, 0.9828192325951459, 0.9828192325951459]"
63,0.014999866485595703,3.904603210680086e-07,"[0.9888072253456472, 0.9863962178183223, 0.985364229860845, 0.9848838606350863, 0.984646982495393, 0.9845307193992454]","[0.9834113003663811, 0.9842451988277879, 0.984376266992631, 0.9844084019814484, 0.9844144563030981, 0.9844144563030981]"
64,0.0280001163482666,3.903741173451712e-07,"[0.9892655081865939, 0.9870065212020197, 0.9859730159698896, 0.9854885224448015, 0.9852484225601478, 0.9851283726178203]","[0.9843403141180908, 0.984851308122365, 0.9849811662308757, 0.9850083226754937, 0.9850083226754937, 0.9850083226754937]"
65,0.0,3.904054697904128e-07,"[0.9886626701859953, 0.9862777969864104, 0.9853164908227688, 0.9848799125174157, 0.984672300547354, 0.9845693268995157]","[0.9829470363130957, 0.9842530819099344, 0.9844246203500226, 0.9844646885772916, 0.9844646885772916, 0.9844666484322684]"
66,0.019999980926513672,3.904051227560044e-07,"[0.9876562619929472, 0.9852624517337514, 0.9842620795818553, 0.9837809717069455, 0.9835476398564345, 0.9834313303502229]","[0.9822335780538949, 0.983250009108692, 0.9832854154041344, 0.9833055363852795, 0.9833150208440109, 0.9833150208440109]"
67,0.016000032424926758,3.9044742570388177e-07,"[0.988263667575319, 0.9860114865831856, 0.9850751048870122, 0.9846289926670855, 0.9844080459634511, 0.9842975726116345]","[0.9827215712267091, 0.9841054612779634, 0.9841662627173278, 0.984187099259817, 0.984187099259817, 0.984187099259817]"
68,0.0,3.9039795482818614e-07,"[0.9877539389810929, 0.985229828738871, 0.9840930831460181, 0.9835489647877559, 0.983279674721007, 0.9831450511445347]","[0.9822417539231083, 0.9828646260828159, 0.9829929698838563, 0.9830103846542577, 0.9830103846542577, 0.9830123324347534]"
69,0.016000032424926758,3.9058095208288197e-07,"[0.9896631904223012, 0.9871814287347147, 0.986066541456057, 0.985531923975836, 0.9852754583570303, 0.9851494018422968]","[0.984327407343853, 0.9848837639724727, 0.984983483063835, 0.9850185872623868, 0.9850233453275641, 0.9850233453275641]"
70,0.021999835968017578,3.903915536494187e-07,"[0.9916238925788236, 0.989548623254783, 0.9886138068745394, 0.988166177782318, 0.9879534347041661, 0.9878490954781717]","[0.9870317281728528, 0.9876177072301862, 0.9877165186485162, 0.9877248539768851, 0.9877433331864474, 0.9877470302334205]"
71,0.003999948501586914,3.903887011124653e-07,"[0.989543689191536, 0.9872429150602846, 0.9861903924321992, 0.9856978417989118, 0.9854575058769414, 0.985337520707197]","[0.9846833227596173, 0.9850749746985811, 0.9851923120338957, 0.9852101618724045, 0.9852175355374532, 0.9852175355374532]"
72,0.015000104904174805,3.904502779270511e-07,"[0.9903160666052307, 0.9883247058065184, 0.9874312869279527, 0.986994964525855, 0.9867812810723023, 0.9866750550656775]","[0.9860637612526293, 0.9865348849079981, 0.9865492032720987, 0.9865675976187508, 0.9865675976187508, 0.9865698455671447]"
73,0.0,3.904921714125006e-07,"[0.9880397982705396, 0.9857412421350963, 0.9847199710419323, 0.9842327912830166, 0.9839991917401034, 0.9838829536489396]","[0.9823507697488579, 0.983615536761283, 0.9837182809928353, 0.9837635310388184, 0.9837667155577756, 0.9837667155577756]"
74,0.014999866485595703,3.905542504931666e-07,"[0.9889009019296194, 0.9866847150321265, 0.985751629575681, 0.9853162863951784, 0.9851060380915663, 0.9850021592969525]","[0.9836717266544517, 0.9847409059435679, 0.9848544076879293, 0.9848911647801724, 0.984896376220457, 0.984898381906407]"
75,0.016000032424926758,3.905590483440889e-07,"[0.9889572368922507, 0.986832079540608, 0.9859428367227963, 0.9855158197131444, 0.9853054036020478, 0.9852001955464994]","[0.9840313424594058, 0.9850075038378043, 0.9850657983366117, 0.9850949874909509, 0.9850949874909509, 0.9850949874909509]"
76,0.015000104904174805,3.9038177059086863e-07,"[0.9880878777708499, 0.9857624419838447, 0.9847869289992542, 0.9843304343279522, 0.9841044568855127, 0.9839920799111962]","[0.9828743378088319, 0.983726172536899, 0.9838662291478486, 0.9838744569161516, 0.9838797029368803, 0.9838797029368803]"
77,0.003000020980834961,3.905340910179064e-07,"[0.9899027262630679, 0.9875914779493463, 0.986600376204143, 0.9861448675334513, 0.9859196848088353, 0.9858075982641871]","[0.9848384897302559, 0.9855307780456427, 0.9856673881440237, 0.9856920455815419, 0.9856955117195396, 0.9856955117195396]"
78,0.003999948501586914,3.90548786896697e-07,"[0.9889511970326423, 0.9864750811354436, 0.9853919664936828, 0.9848861774847805, 0.9846370779453908, 0.9845148739149322]","[0.9835234950248194, 0.9842512795433319, 0.9843447586649295, 0.984387040908742, 0.9843900181244372, 0.9843927109765442]"
79,0.016000032424926758,3.904324780952493e-07,"[0.9885721088127257, 0.9860735434567178, 0.9849643840346766, 0.9844395369918947, 0.9841840964651447, 0.9840584724648357]","[0.9830581808107878, 0.9837987719472714, 0.9839102118531132, 0.9839273486934355, 0.9839315855374878, 0.9839362738706007]"
80,0.006999969482421875,3.905350443477897e-07,"[0.9885655220118182, 0.9863384570086308, 0.9854063801039659, 0.9849572126522469, 0.984734994122795, 0.9846267498235782]","[0.9832257456604965, 0.9844228822831577, 0.9845080452005276, 0.9845080452005276, 0.984518505524361, 0.984518505524361]"
81,0.018000125885009766,3.904996854993854e-07,"[0.9891379157308321, 0.9868308987488303, 0.9857987137649399, 0.9853055223339631, 0.9850758137630904, 0.9849633716203656]","[0.984067465780176, 0.9847541836133944, 0.9847782597776413, 0.9848408982333119, 0.9848509294776405, 0.9848509294776405]"
82,0.016000032424926758,3.9055692271446957e-07,"[0.9889939108030089, 0.9867837305727701, 0.9858188456638001, 0.9853725838065643, 0.9851546254877865, 0.985046335990189]","[0.9839278243680504, 0.9847908358128424, 0.9849078976504035, 0.9849298905491125, 0.9849380464925919, 0.9849380464925919]"
83,0.021000146865844727,3.906035750254361e-07,"[0.9902031979124153, 0.9879053706541969, 0.9869105348459484, 0.9864403211357763, 0.9862076394980088, 0.9860929146821298]","[0.985136711653279, 0.9858344732709768, 0.9859592811361496, 0.9859749578602415, 0.9859749578602415, 0.9859782941093734]"
84,0.0,3.904810936226957e-07,"[0.9887142229528965, 0.9861755684716494, 0.9850508447466938, 0.9845376496555719, 0.984288717565258, 0.9841661580105663]","[0.9827641940353362, 0.9838408470951348, 0.9840091788224355, 0.9840307483231553, 0.9840435984558746, 0.9840435984558746]"
85,0.016000032424926758,3.9046588188886845e-07,"[0.9887583068606048, 0.986193830241212, 0.9850273195829513, 0.9844715786501609, 0.9842030918836192, 0.9840693566935855]","[0.9830403334275616, 0.9838369762721345, 0.9838893970690288, 0.9839300183159453, 0.9839350586187362, 0.9839379841631773]"
86,0.016000032424926758,3.905001208063949e-07,"[0.9892733892903585, 0.9868994279187066, 0.985880670471254, 0.9853954732714201, 0.9851630870526765, 0.985047923965486]","[0.9844137520075179, 0.984664088353375, 0.9848991237070389, 0.9849163346366367, 0.9849327608782946, 0.9849327608782946]"
87,0.0,3.9054745809285424e-07,"[0.9882280996237454, 0.9857937810837202, 0.9847862613160263, 0.9843188552846142, 0.9840887286888544, 0.9839745053741918]","[0.982650564905251, 0.9836030098544157, 0.9838510741746568, 0.9838576959398325, 0.9838602820595289, 0.9838602820595289]"
88,0.016000032424926758,3.9051002491249515e-07,"[0.9900657025672092, 0.9874859255419235, 0.9862623946786391, 0.9856822632278199, 0.9854136002146034, 0.9852801587879473]","[0.9847758104053701, 0.9849448095663119, 0.985083008483155, 0.9851394045720123, 0.9851467173612914, 0.9851467173612914]"
89,0.016000032424926758,3.9047033260646094e-07,"[0.9891786059685599, 0.9865640375304897, 0.9854430542465695, 0.9849491423780772, 0.9847044596390868, 0.9845826538128477]","[0.9836627737578261, 0.9842243284805571, 0.9844420813870791, 0.9844597769000956, 0.9844597769000956, 0.9844619082216977]"
90,0.014999866485595703,3.905626677661325e-07,"[0.9898000740405922, 0.9875744364346583, 0.9865968204370419, 0.9861260272339828, 0.9858937959116623, 0.9857776802505017]","[0.9846741534035317, 0.9855806745247632, 0.9856291853744175, 0.9856615645893412, 0.9856615645893412, 0.9856615645893412]"
91,0.016000032424926758,3.9057825024001737e-07,"[0.9899390120129268, 0.987859840832978, 0.9869423188132956, 0.9865048096687429, 0.9862865388976516, 0.9861774035121057]","[0.9851505321144315, 0.9859390660086903, 0.986061510540937, 0.98606826812656, 0.98606826812656, 0.98606826812656]"
92,0.016000032424926758,3.90575149663477e-07,"[0.9881052539242173, 0.9855317912033941, 0.9844939777529564, 0.983999230724018, 0.9837648296597561, 0.9836491173670219]","[0.9819984924960028, 0.9832930508788805, 0.9834840564127285, 0.9835278504910692, 0.9835334050742877, 0.9835334050742877]"
93,0.014999866485595703,3.90583119543924e-07,"[0.9890268138365917, 0.986518555501188, 0.98549406670986, 0.9850098361847645, 0.9847720444312943, 0.9846563524113958]","[0.9833245898600742, 0.9844164846291706, 0.9845145737616264, 0.9845278981602064, 0.9845371785752135, 0.9845427582610513]"
94,0.015000104904174805,3.904431134050887e-07,"[0.987399528790987, 0.985193980917747, 0.9842193697563999, 0.983745919905075, 0.9835129869574719, 0.9833965204836697]","[0.9826659411165252, 0.9831574559747774, 0.983251251196543, 0.9832800540098681, 0.9832800540098681, 0.9832800540098681]"
95,0.015000104904174805,3.9054373957415436e-07,"[0.9890424721794462, 0.9867246308041406, 0.9856642649730861, 0.9851835624616905, 0.9849492897545139, 0.9848328609804928]","[0.9839937434854231, 0.984506798415599, 0.9846795850332007, 0.984712310270224, 0.9847164322064728, 0.9847164322064728]"
96,0.016000032424926758,3.903711933868506e-07,"[0.9897225699779962, 0.9872939705317587, 0.986281175537349, 0.9857961568095396, 0.9855589722746806, 0.9854403800072511]","[0.9844605933243307, 0.9851527492981008, 0.9852993779833646, 0.985321787739822, 0.985321787739822, 0.985321787739822]"
