Instance,Runtime,Dual_Bound,Primal_Bound,Lamda,Optimal_Value
11,0.0,"[0.7169919556314892, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.6979134866186781, 0.697913486618678, 0.697913486618678, 0.697913486618678]","[0.6238934175515554, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782, 0.6979134866186782]","[0.24907189246782271, 0.12453594623391136, 0.18680391935086704, 0.21793790590934486, 0.20237091263010595, 0.1945874159904865, 0.19847916431029622, 0.19653329015039137, 0.19750622723034378, 0.19799269577032, 0.1982359300403081, 0.19811431290531406, 0.19805350433781704, 0.19802310005406853, 0.19800789791219425, 0.1980154989831314]",0.6979134866186782
12,0.0,"[0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542]","[0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542, 0.6937936358040542]","[0.22450043228484576, 0.33675064842726865, 0.2806255403560572, 0.2525629863204515, 0.2665942633382543, 0.2595786248293529, 0.2560708055749022, 0.2543168959476768, 0.25519385076128953, 0.25475537335448317, 0.25497461205788635, 0.2548649927061848, 0.254810183030334, 0.2548375878682594, 0.2548238854492967, 0.25483073665877803]",0.6937936358040542
13,0.0009999275207519531,"[0.3443828371743927, 0.3443828371743927, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266]","[0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266, 0.34438283717439266]","[0.10927495695903816, 0.16391243543855724, 0.1365936961987977, 0.12293432657891792, 0.1297640113888578, 0.13317885379382774, 0.13488627499631273, 0.1357399855975552, 0.13616684089817643, 0.13638026854848706, 0.13648698237364237, 0.13654033928622003, 0.13651366082993122, 0.1365270000580756, 0.1365336696721478]",0.34438283717439266
14,0.0009999275207519531,"[0.6038415245446417, 0.6038415245446417, 0.5992340109592267, 0.5992340109592267, 0.5972637866199076, 0.5970692345571972, 0.5967156417928465, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167]","[-inf, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167, 0.5967025916444167]","[0.20428713657279415, 0.3064307048591912, 0.2553589207159927, 0.2298230286443934, 0.24259097468019306, 0.24897494769809286, 0.24578296118914295, 0.2473789544436179, 0.24817695107085538, 0.24777795275723663, 0.24797745191404602, 0.24787770233564133, 0.24792757712484367, 0.2479026397302425, 0.24789017103294192, 0.24788393668429162]",0.5967025916444167
15,0.0,"[0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628]","[0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628, 0.6271872842888628]","[0.22476876266533016, 0.33715314399799523, 0.2809609533316627, 0.30905704866482897, 0.29500900099824584, 0.2879849771649543, 0.29149698908160004, 0.29325299503992297, 0.2923749920607615, 0.2919359905711808, 0.2917164898263904, 0.2918262401987856, 0.29177136501258805, 0.2917988026056868, 0.2917850838091374, 0.2917919432074121]",0.6271872842888628
16,0.0,"[0.6605047599695525, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931]","[-inf, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931, 0.6541185366621931]","[0.20396700323597552, 0.3059505048539633, 0.3569422556629572, 0.33144638025846024, 0.31869844255621177, 0.31232447370508754, 0.30913748927952545, 0.3107309814923065, 0.30993423538591597, 0.3095358623327207, 0.30933667580612306, 0.3092370825428242, 0.3092868791744736, 0.3092619808586489, 0.3092744300165613, 0.30928065459551746]",0.6541185366621931
17,0.0,"[0.6030230425276089, 0.6014866024128147, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611, 0.5983650567024611]","[-inf, 0.5096404334498239, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612, 0.5983650567024612]","[0.19054420693880147, 0.2858163104082022, 0.23818025867350184, 0.21436223280615166, 0.22627124573982677, 0.2322257522066643, 0.23520300544008307, 0.2337143788233737, 0.23445869213172837, 0.2348308487859057, 0.23501692711299438, 0.23510996627653874, 0.2351564858583109, 0.23517974564919697, 0.23519137554464004, 0.23519719049236154]",0.5983650567024612
18,0.0,"[0.5906352704042921, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433]","[0.5192165501049865, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433, 0.5719687063811433]","[0.20122285782555224, 0.10061142891277612, 0.15091714336916418, 0.12576428614097016, 0.13834071475506715, 0.14462892906211566, 0.14777303621563992, 0.14934508979240205, 0.148559063004021, 0.1489520763982115, 0.14875556970111625, 0.14865731635256862, 0.1486081896782948, 0.14863275301543172, 0.14862047134686326, 0.14861433051257905]",0.5719687063811433
19,0.0,"[0.7293269313076549, 0.7293269313076549, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703155]","[-inf, 0.6429737470941655, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156, 0.7233616937703156]","[0.2239725785206897, 0.33595886778103456, 0.2799657231508621, 0.30796229546594833, 0.2939640093084052, 0.2869648662296337, 0.2834652946902479, 0.2852150804599408, 0.28608997334478725, 0.28565252690236403, 0.2858712501235756, 0.28598061173418143, 0.28603529253948434, 0.2860626329421358, 0.28607630314346155, 0.28606946804279865]",0.7233616937703156
20,0.0,"[0.7709593491094755, 0.7709593491094755, 0.7709593491094755, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243]","[-inf, 0.6886713967992117, 0.6886713967992117, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243, 0.7687711664198243]","[0.23910651754476, 0.35865977631714, 0.29888314693095, 0.26899483223785503, 0.28393898958440256, 0.29141106825767626, 0.2876750289210394, 0.28580700925272096, 0.2867410190868802, 0.2862740141698006, 0.28604051171126077, 0.2861572629405307, 0.2860988873258957, 0.2861280751332132, 0.2861134812295545, 0.2861061842777251]",0.7687711664198243
