Instance,Runtime,K,Optimal_Value
68,"{1: 0.013000011444091797, 2: 0.00800013542175293, 5: 0.002000093460083008, 10: 0.0019998550415039062}",3,"{1: 0.4059153834647778, 2: 0.4750563518250685, 5: 0.5099792376225573, 10: 0.5099792376225573}"
69,"{1: 0.007999897003173828, 2: 0.02200007438659668, 5: 0.003000020980834961, 10: 0.006999969482421875}",4,"{1: 0.5784712970971391, 2: 0.6363622651634521, 5: 0.6513052226167919, 10: 0.6513052226167919}"
70,"{1: 0.01399993896484375, 2: 0.02500009536743164, 5: 0.003000020980834961, 10: 0.005000114440917969}",4,"{1: 0.6277888432299321, 2: 0.7292346275067645, 5: 0.7803850302374272, 10: 0.7803850302374272}"
71,"{1: 0.01699995994567871, 2: 0.03099989891052246, 5: 0.0009999275207519531, 10: 0.003999948501586914}",4,"{1: 0.5545294817735436, 2: 0.6813522384743084, 5: 0.7536008004241836, 10: 0.7536008004241836}"
72,"{1: 0.009000062942504883, 2: 0.013000011444091797, 5: 0.003000020980834961, 10: 0.003000020980834961}",3,"{1: 0.598888485471782, 2: 0.6932159973608956, 5: 0.7304256520648239, 10: 0.7304256520648239}"
73,"{1: 0.00800013542175293, 2: 0.017999887466430664, 5: 0.002000093460083008, 10: 0.003000020980834961}",4,"{1: 0.29130576254052915, 2: 0.327096085476337, 5: 0.3375609564419679, 10: 0.3375609564419679}"
74,"{1: 0.010999917984008789, 2: 0.011999845504760742, 5: 0.003000020980834961, 10: 0.0029997825622558594}",10,"{1: 0.49420792821667153, 2: 0.6311047406603278, 5: 0.6590403091541527, 10: 0.6590403091541527}"
75,"{1: 0.0070002079010009766, 2: 0.009999990463256836, 5: 0.002000093460083008, 10: 0.003000020980834961}",3,"{1: 0.44255737013951213, 2: 0.5310041548478399, 5: 0.5393826118402631, 10: 0.5393826118402631}"
76,"{1: 0.003999948501586914, 2: 0.002000093460083008, 5: 0.003000020980834961, 10: 0.004000186920166016}",2,"{1: 0.6640981787402246, 2: 0.7104622278085393, 5: 0.7104622278085393, 10: 0.7104622278085393}"
77,"{1: 0.013000011444091797, 2: 0.03399991989135742, 5: 0.020999908447265625, 10: 0.003000020980834961}",6,"{1: 0.49609331349347774, 2: 0.6038282593888727, 5: 0.6943404787254448, 10: 0.7025420213449447}"
78,"{1: 0.009999990463256836, 2: 0.01699995994567871, 5: 0.003999948501586914, 10: 0.003000020980834961}",3,"{1: 0.5782745179129638, 2: 0.6483736134442755, 5: 0.6672144402633495, 10: 0.6672144402633495}"
79,"{1: 0.01100015640258789, 2: 0.017000198364257812, 5: 0.003000020980834961, 10: 0.003000020980834961}",3,"{1: 0.5114958477900888, 2: 0.5531464480387406, 5: 0.5583537659723482, 10: 0.5583537659723482}"
80,"{1: 0.01699995994567871, 2: 0.026999950408935547, 5: 0.003999948501586914, 10: 0.004999876022338867}",10,"{1: 0.38556737182120465, 2: 0.44625874976998203, 5: 0.4819834465448474, 10: 0.4819834465448475}"
81,"{1: 0.023999929428100586, 2: 0.019999980926513672, 5: 0.006999969482421875, 10: 0.003000020980834961}",4,"{1: 0.2758770905098237, 2: 0.359722136487049, 5: 0.37602789467798714, 10: 0.3760278946779871}"
82,"{1: 0.015000104904174805, 2: 0.04999995231628418, 5: 0.004999876022338867, 10: 0.009999990463256836}",10,"{1: 0.6494214350907989, 2: 0.7446133777014565, 5: 0.7774608632049526, 10: 0.7774608632049526}"
83,"{1: 0.03299999237060547, 2: 0.04699993133544922, 5: 0.006999969482421875, 10: 0.01399993896484375}",3,"{1: 0.5592751604916226, 2: 0.6398573044309988, 5: 0.6679041422016522, 10: 0.6679041422016522}"
84,"{1: 0.01900005340576172, 2: 0.03099989891052246, 5: 0.006000041961669922, 10: 0.005000114440917969}",3,"{1: 0.44079176097952955, 2: 0.5463461184532776, 5: 0.5662643690579006, 10: 0.5662643690579006}"
85,"{1: 0.03400015830993652, 2: 0.042999982833862305, 5: 0.006000041961669922, 10: 0.00800013542175293}",4,"{1: 0.562710006231181, 2: 0.6529631718190354, 5: 0.6892995599013645, 10: 0.6892995599013645}"
86,"{1: 0.031000137329101562, 2: 0.015000104904174805, 5: 0.0019998550415039062, 10: 0.004999876022338867}",4,"{1: 0.5496006643472087, 2: 0.6127215771519083, 5: 0.6353074222646182, 10: 0.6353074222646182}"
87,"{1: 0.023000001907348633, 2: 0.03299999237060547, 5: 0.003000020980834961, 10: 0.0019998550415039062}",5,"{1: 0.4507122348309681, 2: 0.568082053199975, 5: 0.6397066964662055, 10: 0.6397066964662055}"
88,"{1: 0.013000011444091797, 2: 0.002000093460083008, 5: 0.0029997825622558594, 10: 0.003000020980834961}",2,"{1: 0.3426531258655089, 2: 0.4396942650114388, 5: 0.4396942650114388, 10: 0.4396942650114388}"
89,"{1: 0.006999969482421875, 2: 0.0029997825622558594, 5: 0.0009999275207519531, 10: 0.0019998550415039062}",2,"{1: 0.6048218097395497, 2: 0.6926367749002211, 5: 0.6926367749002211, 10: 0.6926367749002211}"
90,"{1: 0.009999990463256836, 2: 0.009000062942504883, 5: 0.003999948501586914, 10: 0.002000093460083008}",3,"{1: 0.5382793344973497, 2: 0.6361070465737029, 5: 0.6406449025471112, 10: 0.6406449025471112}"
91,"{1: 0.014999866485595703, 2: 0.013000011444091797, 5: 0.003000020980834961, 10: 0.003999948501586914}",3,"{1: 0.6354089344759333, 2: 0.7351735860448615, 5: 0.7444865687539512, 10: 0.7444865687539512}"
92,"{1: 0.018000125885009766, 2: 0.010999917984008789, 5: 0.002000093460083008, 10: 0.006000041961669922}",3,"{1: 0.4765568952604912, 2: 0.5813220816161206, 5: 0.6208151365880067, 10: 0.6208151365880067}"
93,"{1: 0.010999917984008789, 2: 0.009999990463256836, 5: 0.003000020980834961, 10: 0.003000020980834961}",3,"{1: 0.4463184147105359, 2: 0.4987806381219162, 5: 0.517993851887793, 10: 0.517993851887793}"
94,"{1: 0.01100015640258789, 2: 0.013000011444091797, 5: 0.003000020980834961, 10: 0.002000093460083008}",3,"{1: 0.5388981102219531, 2: 0.6255964830922344, 5: 0.6330622102055665, 10: 0.6330622102055665}"
95,"{1: 0.01100015640258789, 2: 0.005000114440917969, 5: 0.002000093460083008, 10: 0.0019998550415039062}",2,"{1: 0.6118731243199949, 2: 0.6822823466551922, 5: 0.6822823466551922, 10: 0.6822823466551922}"
96,"{1: 0.00599980354309082, 2: 0.00800013542175293, 5: 0.004000186920166016, 10: 0.0029997825622558594}",3,"{1: 0.5324543076401836, 2: 0.5795888686712516, 5: 0.5815540602792773, 10: 0.5815540602792773}"
97,"{1: 0.013000011444091797, 2: 0.01699995994567871, 5: 0.0019998550415039062, 10: 0.0029997825622558594}",3,"{1: 0.6545519985628638, 2: 0.7519861856394785, 5: 0.7655140156408617, 10: 0.7655140156408617}"
98,"{1: 0.003999948501586914, 2: 0.014999866485595703, 5: 0.005000114440917969, 10: 0.003000020980834961}",3,"{1: 0.5903685608845293, 2: 0.6256136663780942, 5: 0.6277470136105845, 10: 0.6277470136105845}"
99,"{1: 0.017999887466430664, 2: 0.003000020980834961, 5: 0.002000093460083008, 10: 0.002000093460083008}",2,"{1: 0.4564165293113215, 2: 0.537729512568375, 5: 0.537729512568375, 10: 0.537729512568375}"
100,"{1: 0.02200007438659668, 2: 0.019999980926513672, 5: 0.002000093460083008, 10: 0.003000020980834961}",4,"{1: 0.45089873809672754, 2: 0.5373127008662751, 5: 0.5818520131397867, 10: 0.5818520131397866}"
