Instance,Runtime,Optimal_Value
1,0.0,3.0739910095631214e-07
2,0.0,3.474070975896125e-07
3,0.0,3.10026844573782e-07
4,0.0,2.956585531551168e-07
5,0.0,3.6230639245622937e-07
6,0.016000032424926758,3.523923607898321e-07
7,0.0,3.2758055067704133e-07
8,0.0,3.488820443273639e-07
9,0.0,3.32464076347796e-07
10,0.0,3.315739167528683e-07
11,0.0,3.8005354685641894e-07
12,0.0,3.425604740674526e-07
13,0.0,3.3348070361034595e-07
14,0.0,3.1171743251463953e-07
15,0.0,3.4296991373493984e-07
16,0.0,3.1122894780880053e-07
17,0.0,0.05357165962144297
18,0.0,3.0704171421135293e-07
19,0.0,3.417550331431422e-07
20,0.0,0.050809770130670034
21,0.0,3.3312075018395076e-07
22,0.0,2.773772511888135e-07
23,0.0,3.564088390770613e-07
24,0.0,0.0185185244272352
25,0.0,2.622448971679793e-07
26,0.0,3.166897733375748e-07
27,0.0,4.726887829365428e-07
28,0.0,2.538402147717952e-07
29,0.0,3.637338119161694e-07
30,0.0,4.814248913664867e-07
31,0.0,3.456785915057622e-07
32,0.0,3.2012271810974164e-07
33,0.0,0.013914671755349212
34,0.0,2.5631478027284405e-07
35,0.0,3.2885424710931673e-07
36,0.0,3.2743716706693526e-07
37,0.0,3.6678135174448927e-07
38,0.0,3.54925370000019e-07
39,0.0,0.004085285296301638
40,0.0,3.296420261739363e-07
41,0.0,3.676342783329062e-07
42,0.0,2.731665838867368e-07
43,0.0,3.4746689385114575e-07
44,0.0,2.649097064648661e-07
45,0.0,3.249952275011896e-07
46,0.0,3.3860376907189233e-07
47,0.0,0.013388206237895845
48,0.0,3.010350786344898e-07
49,0.0,3.125683343579752e-07
50,0.0,3.308737678333787e-07
51,0.0,2.84900031700874e-07
52,0.0,2.965754058263268e-07
53,0.0,3.255670159527102e-07
54,0.0,3.5011546462541517e-07
55,0.0,3.5738696324638684e-07
56,0.0,3.354162907133774e-07
57,0.0,2.958523788098966e-07
58,0.0,3.4909368840207044e-07
59,0.0,2.9919867383420525e-07
60,0.0,3.747450187188309e-07
61,0.0,2.8111616485540267e-07
62,0.0,3.531490868787656e-07
63,0.0,3.550341170443843e-07
64,0.0,3.6307086333666043e-07
65,0.016000032424926758,2.729833553003043e-07
66,0.0,3.4651666645811527e-07
67,0.0,3.0392448564124354e-07
68,0.0,2.601757000431135e-07
69,0.0,3.3641542134569337e-07
70,0.0,3.6044013310835745e-07
71,0.0,3.5335093131345895e-07
72,0.0,3.506227057121338e-07
73,0.0,3.552666506535749e-07
74,0.0,3.50516988836645e-07
75,0.0,3.009563598313543e-07
76,0.0,3.5056114260214937e-07
77,0.0,0.10337542542300424
78,0.0,3.3663129833033127e-07
79,0.0,3.0551648680477644e-07
80,0.0,4.567296450472946e-07
81,0.0,4.1919342309042597e-07
82,0.0,3.6627997896504994e-07
83,0.0,3.083062443432947e-07
84,0.0,2.868663788803058e-07
85,0.0,3.3344852464690236e-07
86,0.0,3.0222696077697656e-07
87,0.0,0.045145354825695774
88,0.0,4.910358310478127e-07
89,0.0,3.7905847198484756e-07
90,0.0,3.244570853313935e-07
91,0.0,3.5235612397687355e-07
92,0.0,3.482076482908484e-07
93,0.0,3.0088716832710177e-07
94,0.0,3.0145990055118764e-07
95,0.0,3.584764614278975e-07
96,0.0,2.786847571631707e-07
97,0.0,3.554985577640039e-07
98,0.0,3.186497910638942e-07
99,0.0,2.732123350912472e-07
100,0.0,2.97196901691016e-07
